x,y
0.1,1
4.464285714,1.034887655
10.71428571,1.098534097
17.85714286,1.169504545
23.21428571,1.250237247
29.46428571,1.342034767
35.71428571,1.450932694
41.96428571,1.584103134
49.10714286,1.757938159
56.25,2.000460152
63.39285714,2.3561803
72.32142857,2.926037505
80.35714286,3.970929326
89.28571429,6.490012778
