REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1642914060.0	0.0	38.63089	47.42432	42.5633	52.57307	45.02215	56.20902	52.11966	51.55727	45.82432	60.83897	74.75935	63.85585	60.39429	62.96648	64.40953	49.24229	45.06574	43.893	48.1829	52.00195	35.23036	45.27501	46.31696	42.21453	38.94043	51.45264	45.37964	32.67997	33.13337	0.0	0.0	7.47419	4.92815	12.43373	8.59375	11.05957	8.75419	17.49093	10.06557	0.11509	0.04883	4.31083	8.11244	0.0	0.0	0.0	17.10728	0.0	0.40806	0.0	0.0	0.0	8.10896	12.78599	12.17913	0.30692	19.33245	10.97935	9.90165	5.01535	12.1024	10.55036	8.89369	32.23354	8.61468	1.2207	13.29869	12.23842	13.97531	12.28376	27.19378	26.38114	42.14565	24.60938	25.01395	17.45605	16.66434	21.30301	0.0	0.0	0.0	36.61063	16.762	12.77204	17.33398	34.12388	0.0	0.0	0.0	21.1356	10.52246	0.12905	5.26297	10.25739	6.74874	9.44824	7.32771	6.59877	1.17188	6.8185	0.25112
1	1642914120.0	0.0	38.49139	47.20633	42.63306	52.48152	44.7998	56.01719	52.2243	51.52239	45.78509	61.10927	75.42201	63.79046	60.18502	62.73542	64.16103	49.02431	44.98727	43.82324	48.12622	51.98887	35.23036	45.96383	46.00743	42.25813	38.94479	51.80141	45.19653	33.24236	33.2598	0.0	0.0	7.04869	4.60728	11.66295	8.11942	10.45619	8.1822	16.15165	9.28781	0.11509	0.04534	3.98996	7.54046	0.0	0.0	0.0	15.80985	0.0	0.39411	0.0	0.0	0.0	7.59277	11.92453	11.17118	0.3139	18.38379	10.60268	9.66448	4.98047	12.03265	10.5957	8.6635	31.52204	8.53446	1.23465	13.31961	12.32561	13.4382	12.10589	26.05329	25.51618	40.82729	24.12109	24.64076	16.762	15.88658	20.43806	0.0	0.0	0.0	34.16922	15.73661	11.86872	16.15165	32.11844	0.0	0.0	0.0	20.37877	10.07254	0.13253	5.24902	10.37946	6.78362	9.52846	7.387	6.51507	1.17188	6.83594	0.24763
2	1642914180.0	0.0	38.38239	47.88644	42.74205	52.42484	45.19653	55.86461	52.28969	51.38724	46.16874	61.39701	75.33918	63.75122	60.00628	62.41281	63.99536	48.76273	44.94803	43.71425	48.10442	52.06299	35.14753	45.84176	45.8374	42.0445	38.44779	51.57471	45.50171	33.00258	33.27724	0.0	0.0	7.7567	5.11649	13.29171	9.22503	11.49205	9.27037	19.55218	11.36998	0.11509	0.04185	4.78167	8.97042	0.0	0.0	0.0	19.24874	0.0	0.40458	0.0	0.0	0.0	8.66699	14.36244	13.49749	0.31738	22.0459	12.23842	11.24791	5.59431	13.15918	11.24093	9.30873	35.60268	9.56334	1.1928	14.82282	13.5219	15.08789	12.81041	29.0353	28.41099	45.74498	26.18931	27.05078	18.70815	18.13965	22.98061	0.0	0.0	0.0	40.32506	18.86161	14.51939	19.23828	38.62305	0.0	0.0	0.0	24.20829	12.06403	0.143	5.80357	11.69434	7.71484	10.84682	8.24498	7.08008	1.17188	7.31724	0.32436
3	1642914240.0	0.0	38.27776	47.9126	42.61562	52.78233	45.34912	56.33545	51.98015	51.47008	46.46955	61.37957	75.37406	63.67711	59.84497	62.13815	63.7425	48.44884	44.85648	43.66193	48.10442	51.77961	35.06906	45.75893	45.94203	42.09246	38.5873	51.52239	45.13986	33.39495	33.63909	0.0	0.0	6.21164	4.31083	10.60617	7.74275	9.34012	7.46024	15.90053	9.02623	0.12207	0.03836	3.91323	7.37653	0.0	0.0	0.0	15.60756	0.0	0.39062	0.0	0.0	0.0	7.00335	11.50949	10.76311	0.31738	17.36189	8.70884	8.22056	3.99344	10.22949	8.84487	7.5579	27.29143	7.11844	1.11258	11.34556	10.69336	12.37444	10.40737	23.4096	23.11314	36.66643	21.59947	22.46791	15.41574	15.19252	19.22084	0.0	0.0	0.0	33.20312	15.46805	11.54088	15.78544	31.54994	0.0	0.0	0.0	19.03599	9.90862	0.12905	5.41295	8.00432	6.37905	8.4368	6.15932	5.87681	1.1928	5.5978	0.24065
4	1642914300.0	0.0	38.28212	47.90388	42.94259	52.80413	44.68645	55.99976	51.97144	51.56163	46.41724	61.506	75.51793	63.56812	59.67058	61.86785	63.44604	48.15674	44.67773	43.56602	48.04339	51.47008	34.7726	45.92896	45.42759	41.75241	38.54806	51.47443	45.29245	33.15953	33.4647	0.0	0.0	6.08259	4.35268	10.78404	7.73577	10.04813	7.44978	16.45508	9.8005	0.12207	0.03139	4.86886	8.70536	0.0	0.0	0.0	19.3185	0.0	0.39062	0.0	0.0	0.0	9.29827	15.66685	14.59961	0.31738	24.27455	12.83831	11.9873	5.91518	11.92104	10.28878	8.02176	29.50265	8.32171	1.13351	13.4103	11.87221	12.06403	10.81892	22.84807	22.69113	37.08845	21.51576	22.66671	15.39481	16.20745	19.21387	0.0	0.0	0.0	38.1243	18.16057	15.05301	18.95229	37.51395	0.0	0.0	0.0	25.61035	12.66741	0.13602	5.5106	12.23145	8.23103	11.41881	8.43331	6.80455	1.17188	7.2998	0.34528
5	1642914360.0	0.0	38.82708	47.36764	42.53714	52.6341	44.78237	56.26134	52.07171	51.33493	47.35456	61.26186	75.40458	63.48964	59.56159	61.62371	63.11035	47.93004	44.58182	43.46139	47.99979	51.33929	34.87287	46.09462	45.70661	41.63906	38.56986	51.41776	45.34476	33.18133	32.80204	0.0	0.0	8.01828	5.47224	13.91253	9.61565	12.21401	9.8284	21.07282	12.42676	0.11858	0.03488	4.99791	9.34361	0.0	0.0	0.0	20.30901	0.0	0.39062	0.0	0.0	0.0	9.05762	15.47503	14.38686	0.31738	23.90137	12.69182	11.92104	5.77218	12.82785	11.14328	9.10296	34.47614	9.29827	1.11258	14.65193	13.21498	15.01814	12.62207	28.98996	28.45982	45.70312	26.2207	27.15541	18.35938	18.28613	23.14802	0.0	0.0	0.0	41.77246	19.47196	15.64941	20.13114	40.2274	0.0	0.0	0.0	25.35575	12.5558	0.16044	5.43039	11.86523	8.05664	10.88867	8.31822	7.28237	1.17885	7.46373	0.33831
6	1642914420.0	0.0	38.67449	47.64666	42.72025	52.9044	44.86084	56.13491	52.16762	51.33929	46.79653	61.71962	74.97297	63.35013	59.46568	61.46676	62.74414	47.73385	44.43359	43.36984	47.89952	51.17798	34.71157	46.03795	45.8592	41.70445	38.91427	51.88424	44.71697	33.13773	32.90231	0.0	0.0	6.48368	4.41546	10.81892	7.62068	9.67843	7.60672	16.2493	9.60519	0.11161	0.04534	3.90974	7.44629	0.0	0.0	0.0	15.87612	0.0	0.39062	0.0	0.0	0.0	7.69392	12.52441	11.63504	0.31738	19.24177	10.70033	9.75167	4.77121	11.33859	9.85979	7.66253	28.30287	7.8404	1.09863	12.66044	11.51995	12.35003	11.29674	23.28055	23.27009	36.86523	21.75991	22.78878	14.92397	14.6589	18.47447	0.0	0.0	0.0	33.28334	15.49944	12.43025	16.26674	32.55441	0.0	0.0	0.0	21.28209	10.52246	0.13951	5.256	10.49805	7.03474	9.55636	7.33119	6.29185	1.17885	6.6755	0.26158
7	1642914480.0	0.0	38.51754	47.3502	42.63742	52.82593	45.0701	55.95616	52.02375	51.78397	47.20197	61.61499	74.89014	63.29782	59.43952	61.38829	62.15995	47.49843	44.33768	43.33496	47.87772	51.32185	34.58078	46.4216	45.44939	42.0663	38.67449	51.40468	45.17473	32.9895	33.19441	0.0	0.0	6.00586	4.06669	10.28878	7.10798	9.27734	7.61021	14.96931	8.82743	0.10812	0.05232	3.49819	6.6197	0.0	0.0	0.0	14.01018	0.0	0.39062	0.0	0.0	0.0	7.0173	11.1921	10.60617	0.31738	17.4142	10.23647	9.39941	4.90374	11.58273	9.80399	7.6695	27.982	7.91713	1.09863	12.80692	11.52693	12.03265	10.77009	22.05985	22.42955	35.5957	20.84263	21.45996	14.14272	13.4661	17.14216	0.0	0.0	0.0	29.12946	13.45912	11.02469	14.24386	28.24707	0.0	0.0	0.0	19.06041	9.375	0.13253	5.15834	10.44224	6.78362	9.87026	7.44629	6.28488	1.19629	6.80106	0.25112
8	1642914540.0	0.0	38.49139	47.48971	42.58946	52.51203	45.07446	56.33981	52.01503	51.77961	47.74693	62.24278	74.97733	63.31961	59.39157	61.29238	61.67167	47.28917	44.18945	43.3088	47.84284	50.92512	34.74644	46.53495	45.32732	41.87012	38.51318	51.55727	45.03523	32.86743	32.81948	0.0	0.0	7.73926	5.17229	13.06501	9.06459	11.75014	9.34361	19.71261	11.74665	0.11161	0.03836	4.73284	8.75419	0.0	0.0	0.0	18.81975	0.0	0.39062	0.0	0.0	0.0	9.07854	15.21345	14.09389	0.31738	23.58747	12.94643	12.1861	5.96401	13.494	11.23047	9.12737	34.4308	9.49358	1.1091	14.79492	13.46261	14.49149	12.52093	27.29492	27.29492	43.87905	25.34528	26.31138	17.74205	17.3584	22.06334	0.0	0.0	0.0	39.4322	18.33845	15.05999	19.22433	38.26381	0.0	0.0	0.0	24.99302	12.24191	0.14648	5.53502	12.28725	8.13686	11.41532	8.5798	7.42188	1.19629	7.79855	0.36272
9	1642914600.0	0.0	38.65705	47.50715	42.6505	52.56435	45.10934	56.23954	51.76217	51.52239	47.88208	61.87657	74.74191	63.23678	59.41772	61.24442	61.17902	47.1017	44.10226	43.26957	47.76437	50.85536	34.51974	46.53495	45.20961	41.79164	38.43035	50.77253	45.29245	32.54918	33.16389	0.0	0.0	6.83245	4.57938	11.3351	7.96596	10.24344	8.00432	16.68876	9.90513	0.11509	0.04883	3.72838	6.9894	0.0	0.0	0.0	14.8298	0.0	0.39062	0.0	0.0	0.0	6.86733	11.43973	10.56431	0.31738	17.20843	9.8005	9.25642	4.77121	11.66295	10.1423	7.96945	28.65862	8.01828	1.10561	12.55232	11.71526	12.85924	11.80246	24.41057	24.21526	38.67885	22.83412	23.58398	15.6808	14.8577	18.893	0.0	0.0	0.0	31.94406	14.65541	11.63156	15.3704	30.77916	0.0	0.0	0.0	19.36384	9.53892	0.13253	5.46526	10.11789	6.65109	9.52148	7.44629	6.66504	1.19978	7.08008	0.25112
