REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1639285260.0	0.0	38.04234	47.06247	42.40199	54.09895	45.55402	57.56923	52.32021	51.457	46.77909	60.78666	68.83894	62.11635	54.56107	59.02972	60.23734	53.55835	42.54586	42.76385	43.21725	40.17421	34.9993	42.96439	50.72021	52.08915	41.44723	51.73165	46.46955	35.11701	35.76224	0.0	0.0	7.49512	5.8524	8.23451	5.3397	6.21164	4.92815	8.02176	2.96805	0.01744	0.04883	14.59612	12.67787	0.0	0.0	0.0	15.74707	0.0	0.36621	0.0	0.0	0.0	6.52902	12.14076	8.53795	0.24414	13.30566	10.9933	6.1942	6.97196	13.6649	10.4841	14.42522	96.40067	6.81152	0.67662	1.09515	13.11384	17.60254	9.5459	30.01535	40.99121	22.24819	16.26674	23.46889	13.6649	12.45117	21.58552	0.0	0.0	0.0	13.61607	5.47224	12.39886	12.90109	18.08036	0.0	0.0	0.0	19.13016	13.33357	0.58594	5.00488	10.14927	6.31278	8.33915	7.19517	10.11091	0.98005	11.5897	0.44643
1	1639285320.0	0.0	38.07722	46.96219	41.73061	53.68478	45.78945	57.92236	52.47716	51.47443	46.84448	60.54688	69.30542	62.24714	54.4608	58.92944	60.24606	53.52347	42.50227	42.79872	43.23469	40.20473	34.87287	43.01671	50.42376	52.1153	41.71753	51.56163	46.68753	34.84235	35.72736	0.0	0.0	7.72879	6.12793	8.66699	5.84194	6.61621	5.24205	8.46122	3.13546	0.02093	0.05929	15.20996	13.21847	0.0	0.0	0.0	16.63644	0.0	0.36621	0.0	0.0	0.0	6.92662	12.8139	8.75767	0.24414	13.49749	11.22349	6.26046	7.02079	13.93345	10.73521	14.8577	98.48633	7.04171	0.67313	1.08817	13.494	18.41518	9.9993	32.12542	43.23033	23.2387	17.21191	24.5466	14.29269	13.25335	22.50977	0.0	0.0	0.0	14.9135	5.90123	12.95689	13.85324	19.5452	0.0	0.0	0.0	20.71708	14.22294	0.58594	5.07464	10.83984	6.58133	8.68094	7.50907	10.82938	0.97656	12.34305	0.46038
2	1639285380.0	0.0	37.94207	47.00143	42.02271	54.00739	45.6325	57.95724	52.28097	51.21286	46.56982	60.43352	69.03948	62.35613	54.35181	58.85533	60.14579	53.47552	42.57638	42.82052	43.24777	40.18293	34.92955	42.77693	50.45428	52.17198	41.65213	51.26953	46.66138	35.04726	35.64017	0.0	0.0	8.52748	6.79757	9.40988	6.16978	7.101	5.59431	9.00879	3.28544	0.02441	0.0558	16.21791	13.97531	0.0	0.0	0.0	17.41071	0.0	0.36621	0.0	0.0	0.0	7.23005	13.33357	9.15527	0.24763	15.04953	12.26981	6.79408	7.80901	15.80985	11.40834	16.60505	100.07324	7.84738	0.67313	1.08468	14.90304	19.65332	11.01074	34.63309	45.73451	24.31641	17.9548	26.08119	15.10533	14.40778	24.52218	0.0	0.0	0.0	15.54478	6.31975	13.61607	14.41476	20.44852	0.0	0.0	0.0	22.16099	15.14369	0.58594	5.2002	11.91057	7.03125	9.64704	8.24498	12.03265	0.97656	13.67188	0.46387
3	1639285440.0	0.0	37.99438	46.97091	42.3802	53.80249	45.65866	57.99212	52.17198	51.30005	46.8968	60.08475	69.44929	62.46076	54.27769	58.7507	60.11527	53.36652	42.58074	42.86848	43.21725	40.40963	34.86415	43.16493	50.62866	51.74473	41.34696	51.47879	46.77909	34.70721	35.67941	0.0	0.0	8.31822	6.79757	9.10645	5.96749	6.78013	5.38156	8.89718	3.268	0.02093	0.05929	15.84124	13.60561	0.0	0.0	0.0	17.15262	0.0	0.36621	0.0	0.0	0.0	7.00684	13.00921	9.10993	0.24414	13.8637	11.39439	6.46275	7.14286	14.10435	10.7666	15.45061	97.75042	7.14983	0.65918	1.07771	14.0067	19.06738	10.18764	34.79004	44.94978	23.76883	17.5851	25.66616	14.74261	13.79743	23.33287	0.0	0.0	0.0	15.61802	6.15583	13.2394	13.81138	19.84166	0.0	0.0	0.0	20.58803	14.19852	0.58594	5.14439	10.74219	6.62319	8.98786	7.68345	11.24442	0.99749	12.56278	0.4534
4	1639285500.0	0.0	38.38675	47.01887	42.33224	53.81557	45.77201	57.83953	52.22866	51.02103	47.54203	60.35941	69.53648	62.5	54.28205	58.61991	60.16323	53.13982	42.51099	42.88156	43.19981	40.46195	34.93827	43.23905	50.74637	51.90168	41.10718	51.56163	46.74421	34.81184	35.66197	0.0	0.0	8.54492	7.02079	8.76465	5.75823	6.74526	5.3118	8.69141	3.19127	0.02441	0.05929	15.44364	13.34054	0.0	0.0	0.0	16.70619	0.0	0.36621	0.0	0.0	0.0	6.93011	12.8418	8.92857	0.25809	14.29618	11.65248	6.51855	7.47768	14.58566	11.1363	15.75405	100.07324	7.60324	0.64523	1.07771	14.34501	18.81975	10.49456	35.512	44.91141	23.96066	17.72112	25.27902	14.58217	13.6928	23.33287	0.0	0.0	0.0	14.8019	5.92913	13.03711	13.61956	19.21387	0.0	0.0	0.0	20.82171	14.34152	0.59989	5.18624	11.27581	6.74874	9.45522	8.14035	11.85128	0.98354	13.53585	0.44294
5	1639285560.0	0.0	38.16005	47.31968	42.24505	53.65426	45.60198	58.09239	52.45536	50.98615	46.73985	60.25478	69.7501	62.52616	54.28641	58.51092	60.15887	52.96108	42.45867	42.88156	43.19545	40.31808	34.57206	43.16929	51.01231	51.9322	41.20745	51.63138	46.33004	34.48922	35.48322	0.0	0.0	8.66699	7.21959	8.68792	5.64314	6.59528	5.16881	8.39146	3.09361	0.02441	0.06627	14.59263	12.76158	0.0	0.0	0.0	16.06794	0.0	0.36621	0.0	0.0	0.0	6.73131	12.39537	8.62514	0.25112	14.01367	11.49205	6.41392	7.50558	14.50195	11.07003	15.58664	100.07324	7.51604	0.6522	1.1091	13.91602	18.39076	10.00279	36.36649	43.24428	23.24219	17.07938	24.71749	14.01367	12.83831	22.25516	0.0	0.0	0.0	13.99275	5.71987	12.44768	13.07547	18.57213	0.0	0.0	0.0	20.46247	14.01716	0.60338	5.15137	11.01423	6.66155	9.40639	8.04967	11.8757	0.97656	13.57771	0.44643
6	1639285620.0	0.0	38.12517	46.93168	42.20581	53.90712	46.09026	58.21446	52.1371	51.44392	46.50007	60.21118	69.65419	62.53052	54.22538	58.46296	60.16759	52.84337	42.48483	42.85976	43.26085	40.57966	34.80748	43.3524	50.96	51.16926	41.22053	51.23465	46.86192	34.84235	35.52246	0.0	0.0	8.99484	7.56836	9.32268	6.19071	7.21261	5.66755	9.518	3.53655	0.02441	0.06278	17.25377	14.8577	0.0	0.0	0.0	18.48842	0.0	0.36621	0.0	0.0	0.0	7.4707	13.7486	9.53544	0.24414	14.82631	12.27679	6.88477	7.69043	16.38881	11.34556	16.25628	100.07324	7.45326	0.61384	1.09515	14.54729	19.60798	10.55385	38.3231	46.84012	24.80818	18.30357	26.42997	15.50642	14.49847	24.52916	0.0	0.0	0.0	16.85617	6.66504	14.44615	15.60407	22.09124	0.0	0.0	0.0	23.17243	16.19699	0.60686	5.24902	11.92453	7.11496	9.61565	8.19266	12.1861	0.99749	13.87416	0.47084
7	1639285680.0	0.0	37.90719	47.21941	41.99219	53.78941	45.88972	58.06187	52.30713	50.80741	47.04067	60.37685	69.68907	62.44332	54.1251	58.415	60.31145	52.87388	42.5633	42.83796	43.26085	40.51862	34.94699	43.35676	50.72457	51.31749	40.56658	51.64446	46.89244	34.47178	35.55298	0.0	0.0	8.50307	7.1882	8.7228	5.68499	6.80804	5.33273	8.72977	3.20871	0.01744	0.05929	15.91099	13.8079	0.0	0.0	0.0	16.89104	0.0	0.36621	0.0	0.0	0.0	6.71387	12.09891	8.46819	0.24763	13.28823	11.10142	6.33719	7.64509	15.04255	10.51897	15.2832	95.65081	6.92662	0.62779	1.07771	13.96484	18.70466	9.9435	35.36203	44.22084	23.27009	17.20843	25.2546	14.70075	13.82882	23.37472	0.0	0.0	0.0	15.45061	6.04771	13.55678	14.01018	19.96722	0.0	0.0	0.0	20.53223	14.57868	0.60686	5.06069	10.73172	6.54994	9.11691	7.69043	11.34556	0.98005	12.69531	0.46387
8	1639285740.0	0.0	38.30392	47.22813	42.48483	53.9856	46.1295	57.56923	52.00195	51.60522	46.53495	60.10655	69.67163	62.26894	54.18178	58.52836	60.35941	53.10495	42.58074	42.89464	43.19545	40.47503	34.52846	43.60962	51.01667	51.25209	41.00255	51.69242	47.21505	35.06906	35.55298	0.0	0.0	9.02972	7.64858	9.29129	6.11049	7.19517	5.64662	9.29129	3.48772	0.0279	0.06278	17.12821	14.85421	0.0	0.0	0.0	18.81975	0.0	0.36621	0.0	0.0	0.0	7.39746	13.61956	9.81445	0.24414	15.88658	12.86621	7.29632	8.89021	17.46652	11.5339	17.12821	100.07324	7.72531	0.61733	1.13002	14.99023	19.35338	10.74568	37.74065	46.79129	24.77679	18.30706	26.29046	15.51688	15.29715	24.65123	0.0	0.0	0.0	16.6469	6.67899	14.71122	15.61105	21.93429	0.0	0.0	0.0	23.68513	16.42369	0.59989	5.33622	12.47559	7.32771	10.14927	8.6077	12.80692	0.98703	14.55776	0.48479
9	1639285800.0	0.0	38.1121	47.31533	42.16221	54.1251	46.02923	58.01392	52.23301	51.24337	46.32568	60.47712	69.47545	61.9812	54.4608	58.83789	60.45532	53.4014	42.8336	42.89028	43.19981	40.64941	34.99494	43.51807	50.74637	51.21722	41.2772	51.62702	47.14966	34.70721	35.69685	0.0	0.0	8.62165	7.29632	8.67397	5.61175	6.46624	5.21415	8.6077	3.10407	0.01744	0.05232	15.1716	13.04408	0.0	0.0	0.0	16.47949	0.0	0.36621	0.0	0.0	0.0	6.68945	12.26632	8.79604	0.25112	13.8637	11.33161	6.42439	7.39397	15.58315	10.9933	15.5692	99.29199	7.29632	0.6522	1.09863	13.73814	18.4361	10.14927	36.48158	43.2966	22.88993	16.92941	24.53962	14.34501	14.06599	22.47489	0.0	0.0	0.0	14.58915	5.86984	12.69531	13.82882	19.30455	0.0	0.0	0.0	20.60198	14.23689	0.61035	5.05371	10.90611	6.57436	9.39941	7.94852	11.72573	0.97656	13.39634	0.48131
