REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640408460.0	0.0	38.21673	48.25701	44.84776	54.93164	48.04775	54.57415	55.58559	52.76489	46.86192	60.28966	68.93921	58.46732	55.17578	54.10767	56.64934	45.44067	43.80144	43.86684	45.44067	45.02215	34.232	46.50443	48.86736	46.05974	40.68429	51.50059	45.70661	34.10993	34.42383	0.0	0.0	1.46136	1.48577	6.78362	6.33022	6.9022	5.27693	11.01772	5.55594	0.05232	0.05232	22.50628	13.52539	0.0	0.0	0.0	21.63086	0.0	0.37319	0.0	0.0	0.0	10.90262	15.89704	15.63895	0.2546	18.9209	13.73814	11.01074	5.64314	4.16085	3.98298	4.88281	26.38114	4.36314	0.29994	8.17174	9.83538	12.28027	6.30929	39.78446	27.274	32.32073	27.51116	23.15499	15.03906	12.35003	18.46401	0.0	0.0	0.0	33.36007	18.4954	14.54729	16.43066	39.62402	0.0	0.0	0.0	22.52372	11.93499	0.29646	6.26046	10.36203	7.27888	8.47517	6.99986	14.66588	1.14746	7.06613	0.3139
1	1640408520.0	0.0	38.35188	48.27009	44.73005	55.01011	48.22213	54.39976	55.23682	52.65154	46.86628	60.66895	69.10924	58.51092	55.2063	54.21666	56.81065	45.45811	43.81452	43.88428	45.59762	44.98291	34.21456	46.77473	48.55783	46.16874	40.95023	51.60522	45.6325	33.70013	34.58949	0.0	0.0	1.40206	1.49275	6.77665	6.40695	6.79757	5.24205	10.86775	5.25251	0.04883	0.0279	23.8909	14.6868	0.0	0.0	0.0	22.869	0.0	0.36621	0.0	0.0	0.0	11.12932	16.40974	15.95633	0.24414	19.23828	13.73117	11.04213	5.69545	4.00391	3.93415	4.91769	26.26604	4.38058	0.28948	7.9834	10.1981	12.37095	6.36858	39.42522	26.90778	32.4428	26.92871	23.43401	15.21345	12.83831	18.72559	0.0	0.0	0.0	36.63504	21.69015	16.03306	17.95829	42.36537	0.0	0.0	0.0	23.73396	12.65695	0.29994	6.3058	9.97489	7.10449	8.22754	6.86035	14.488	1.16839	6.87081	0.32785
2	1640408580.0	0.0	38.36932	48.32676	45.35348	54.63954	48.17854	54.45208	55.43736	52.73002	46.73985	60.77794	68.65583	58.59375	55.20194	54.23846	56.9676	45.5671	43.8058	43.79272	45.75457	44.97419	34.28432	46.27773	48.57962	45.88536	40.78892	51.80141	45.84176	33.735	34.729	0.0	0.0	1.1928	1.48577	6.01283	5.64662	5.81055	4.56194	9.9156	4.77469	0.04883	0.03488	22.90388	14.34849	0.0	0.0	0.0	22.72949	0.0	0.36272	0.0	0.0	0.0	11.35603	16.51437	16.31557	0.2546	17.07938	12.16867	10.7666	5.80008	3.74233	3.61328	4.05971	20.68569	3.90974	0.30343	6.85338	8.09152	11.17118	5.61175	33.70187	23.59445	27.46233	23.45843	20.39272	13.17662	10.94448	15.80636	0.0	0.0	0.0	31.03376	14.21247	15.78195	17.04799	39.56124	0.0	0.0	0.0	23.72001	12.64997	0.29646	5.98493	9.1483	6.63016	7.22656	6.06166	13.16267	1.1928	6.12793	0.26507
3	1640408640.0	0.0	38.33008	48.0739	44.83904	54.50003	48.05647	54.32129	55.09731	52.2243	46.77473	60.05423	69.23131	58.7507	55.12347	54.28641	57.12019	45.80688	43.88428	43.6445	45.86356	45.24449	34.72028	46.16438	48.64502	46.33004	41.03742	51.62702	46.09462	33.89195	34.47178	0.0	0.0	1.3079	1.47182	6.0791	5.69196	6.15932	4.75028	9.6017	4.73284	0.04883	0.03836	20.83566	13.02316	0.0	0.0	0.0	19.92885	0.0	0.36272	0.0	0.0	0.0	10.27134	14.74609	14.44615	0.24414	16.31208	11.53041	10.30273	5.47573	3.76674	3.6935	4.30734	23.00502	4.07017	0.29994	7.72531	9.1204	11.21303	5.9082	34.50753	23.96415	28.54004	23.9502	20.67522	13.13128	9.81794	15.64244	0.0	0.0	0.0	23.17243	9.91211	13.637	14.45661	32.65206	0.0	0.0	0.0	20.73451	10.93052	0.29994	5.76172	9.29129	6.34417	7.70089	6.30929	13.46959	1.1649	6.37905	0.28599
4	1640408700.0	0.0	38.46087	48.56655	44.69517	54.72674	47.95183	55.07987	55.07987	52.49023	46.37364	60.2417	69.0046	58.96868	55.10603	54.45644	57.2597	46.18182	43.92787	43.74477	45.95947	45.51479	34.9775	45.9028	48.4314	46.45211	41.08974	51.91476	46.26029	34.28432	34.45435	0.0	0.0	1.20675	1.46484	5.88728	5.58036	5.86635	4.63867	9.74121	4.70494	0.04883	0.02441	21.4216	13.28823	0.0	0.0	0.0	21.78432	0.0	0.36621	0.0	0.0	0.0	10.95145	15.77846	15.67383	0.24414	16.5632	12.11984	9.95047	5.80357	3.62374	3.65862	4.02832	20.34738	3.91323	0.31738	7.43583	8.14732	11.20954	5.44434	33.76814	23.71652	27.51814	23.94322	20.26716	12.85575	9.20759	14.72517	0.0	0.0	0.0	26.0498	10.43178	15.27972	16.23884	36.55831	0.0	0.0	0.0	23.19685	12.35352	0.29646	5.83845	8.85184	6.42439	6.82547	5.60128	12.73717	1.17536	5.67801	0.27902
5	1640408760.0	0.0	38.35188	48.16982	44.44231	54.57415	48.10878	54.78777	54.66134	52.46408	46.30824	60.11091	68.94357	59.28693	55.11911	54.70058	57.53871	46.75293	44.05866	43.78836	46.05974	45.5671	34.59385	46.04667	48.42704	46.69189	40.76712	51.8668	45.94203	34.20149	34.63309	0.0	0.0	1.25558	1.49275	6.41044	6.10003	6.32324	4.90723	10.23996	4.92467	0.04883	0.04534	22.37026	13.97879	0.0	0.0	0.0	22.65625	0.0	0.36621	0.0	0.0	0.0	11.43276	16.61203	16.49693	0.2546	19.2627	13.62305	11.02469	6.0512	3.83998	3.95857	4.25153	21.94127	4.08412	0.33831	8.0392	8.61468	11.89662	5.76521	36.00028	25.44643	28.82952	25.24763	22.08775	13.89858	10.10393	16.05748	0.0	0.0	0.0	27.41002	11.07003	15.75753	17.17704	39.87514	0.0	0.0	0.0	23.62932	12.54534	0.29297	6.52553	10.10393	7.49163	7.80552	6.57087	13.76256	1.17536	6.30929	0.31041
6	1640408820.0	0.0	38.14697	48.52295	44.39	54.84445	48.05211	55.12783	54.85753	52.25917	46.09462	59.82753	68.69943	59.64007	55.09295	54.9796	57.82209	47.31097	44.11534	43.86248	46.16438	45.8592	35.40911	45.48427	48.68862	46.94911	41.2772	52.17198	46.09462	34.03146	34.68977	0.0	0.0	1.37068	1.51018	6.93708	6.60226	6.93708	5.35017	11.12584	5.36761	0.0558	0.04883	23.56655	14.69727	0.0	0.0	0.0	23.4933	0.0	0.36621	0.0	0.0	0.0	11.52344	16.89802	16.6469	0.25809	19.34989	14.20898	11.20954	6.04422	4.04576	4.1748	4.49916	24.04785	4.38407	0.41504	8.67048	9.30873	12.92201	6.16978	40.68429	28.5226	32.37305	28.28195	24.22573	15.45061	11.02469	17.95829	0.0	0.0	0.0	29.15388	11.80246	16.33301	17.68973	43.80929	0.0	0.0	0.0	24.19782	12.91853	0.30692	6.63714	10.77706	7.8404	8.35658	7.0173	14.63797	1.15095	6.7906	0.3697
7	1640408880.0	0.0	38.32136	48.29189	44.58182	54.87497	47.9126	55.14962	54.36925	52.06735	45.95947	60.35941	68.22423	59.96268	55.04499	55.31093	58.00084	47.87336	44.19381	44.00199	46.29081	45.39708	34.91211	45.54967	48.33112	47.16274	40.93279	51.99323	46.41724	34.58514	35.08214	0.0	0.0	1.38463	1.51716	7.19517	6.84989	7.15681	5.50014	11.5339	5.50711	0.04883	0.04534	24.01646	14.95536	0.0	0.0	0.0	23.82464	0.0	0.36272	0.0	0.0	0.0	11.50949	16.84919	16.68178	0.24414	19.57659	14.20201	11.35603	6.08956	4.06669	4.20271	4.6875	25.58943	4.29339	0.40806	8.63211	9.83887	14.53683	6.48019	43.68722	30.33622	34.77958	29.7154	25.00349	16.25279	11.44322	18.7221	0.0	0.0	0.0	29.86537	12.11635	16.46205	17.77344	42.70717	0.0	0.0	0.0	24.18387	12.92201	0.30692	6.5918	10.67243	7.76018	8.35658	6.93708	14.67983	1.14746	6.69992	0.35924
8	1640408940.0	0.0	38.14261	48.37472	44.64722	54.72674	48.37908	55.69458	54.58723	52.16762	45.99435	59.82753	68.63403	60.20682	55.08423	55.44608	58.12727	48.24829	44.21125	44.02815	46.40852	45.51479	35.35243	45.20961	48.46191	46.9186	40.8892	51.9104	46.02923	34.36279	35.18241	0.0	0.0	1.20675	1.45438	5.80706	5.4548	5.75823	4.4329	9.05064	4.43987	0.04883	0.0279	19.96722	12.33956	0.0	0.0	0.0	19.81376	0.0	0.35575	0.0	0.0	0.0	10.11091	14.39732	14.62402	0.24414	17.37932	12.49651	10.0272	5.46875	3.71443	3.62026	4.01088	20.81124	3.96903	0.49177	6.7906	8.10896	12.09542	5.78962	35.20159	24.89886	27.67857	23.99205	20.45201	12.77902	9.26339	14.95187	0.0	0.0	0.0	23.63281	9.72377	13.58468	14.32757	32.94155	0.0	0.0	0.0	20.7101	10.95843	0.29646	6.18373	9.39941	7.0731	7.31027	6.12444	13.07547	1.14049	5.70592	0.25809
9	1640409000.0	0.0	38.41727	48.59706	44.27229	54.79213	47.89952	55.11475	54.36925	52.15018	46.36928	59.60955	68.41169	60.37249	55.10167	55.42864	58.23626	48.53167	44.26793	44.10662	46.44339	45.62378	35.16933	45.44503	48.39216	47.28481	41.26848	52.1371	46.14258	34.35407	34.89467	0.0	0.0	1.27651	1.48926	6.66155	6.27093	6.57436	5.07464	10.47712	5.07812	0.04883	0.03488	22.3877	13.71373	0.0	0.0	0.0	21.3623	0.0	0.36621	0.0	0.0	0.0	10.24693	14.65541	14.49498	0.24414	17.02009	12.51395	9.89467	5.26995	3.67955	3.74581	4.41895	24.18039	4.1748	0.40806	7.36607	8.95996	12.96735	6.20815	39.94838	27.79367	31.86035	26.57296	23.06431	14.4601	10.32715	16.85268	0.0	0.0	0.0	26.16141	10.37946	14.65193	15.64941	36.00725	0.0	0.0	0.0	21.39718	11.3072	0.29646	6.18373	9.70285	7.10798	7.53697	6.26046	13.57422	1.137	5.96749	0.3139
