REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1641358860.0	0.0	38.55242	48.05211	43.23905	53.83737	45.85484	55.69894	49.52131	49.12458	44.42923	59.71418	68.86945	61.1921	55.38504	56.34417	57.38613	50.75945	42.99491	42.6287	44.94367	42.58946	34.69413	39.83416	48.9502	47.35456	41.0505	52.57307	46.8968	35.335	34.80748	0.0	0.0	3.86789	2.56348	6.11398	4.32826	5.17927	4.12946	9.74121	4.67704	0.08719	0.04883	3.48424	6.78362	0.0	0.0	0.0	11.69085	0.0	0.3697	0.0	0.0	0.0	5.84542	9.65053	6.23256	0.24414	5.26646	4.23061	4.89676	3.4947	2.94364	1.99149	2.77972	11.2514	1.7334	0.4255	7.51256	5.63965	11.57575	5.59082	16.73061	20.40318	33.45075	21.4216	21.01702	13.61607	12.28725	18.83022	0.0	0.0	0.0	9.10645	2.18331	6.97545	9.69936	17.68973	0.0	0.0	0.0	18.56864	12.95689	0.19182	5.12347	6.93011	3.60631	5.02232	5.17927	5.256	1.12305	5.4548	0.33482
1	1641358920.0	0.0	38.55678	48.10878	43.287	53.70222	46.02051	55.74254	49.37308	49.15946	44.43795	59.96704	69.48853	61.31417	55.4112	56.47496	57.31201	50.90332	43.11262	42.59818	44.96983	42.14478	34.62437	40.47939	49.04175	47.67718	40.85432	52.42484	46.75729	35.28704	35.20421	0.0	0.0	4.71889	3.07268	7.32771	5.22461	6.17327	5.03278	12.44768	6.04074	0.08371	0.04883	4.77818	9.09947	0.0	0.0	0.0	16.37137	0.0	0.38016	0.0	0.0	0.0	8.27985	13.88463	7.59277	0.25112	6.59528	4.90025	6.01283	4.60031	3.58887	2.51814	2.96805	13.66141	1.81013	0.4534	8.92857	6.51158	13.28823	6.05818	19.7161	23.85603	39.89607	24.62681	24.8291	16.38184	15.32157	23.54213	0.0	0.0	0.0	12.24191	3.01339	9.75516	14.96233	25.43597	0.0	0.0	0.0	25.51967	18.75	0.1988	5.52107	8.38797	4.1748	5.86984	6.0512	6.41741	1.12653	6.64411	0.44294
2	1641358980.0	0.0	38.80964	48.29625	43.18673	53.81557	46.19489	55.69458	49.24229	48.81505	44.24613	59.37413	69.33158	61.4842	55.39812	56.64062	57.38177	51.23901	43.23469	42.66357	45.05266	42.46303	35.40039	40.64069	48.98507	48.17854	40.62762	52.39432	46.30824	35.4745	34.94699	0.0	0.0	4.31083	2.87388	6.95103	4.93862	5.69894	4.63867	11.34208	5.57338	0.08719	0.03836	4.52358	8.56934	0.0	0.0	0.0	14.92397	0.0	0.36621	0.0	0.0	0.0	7.61719	12.62905	7.04171	0.24763	5.99888	4.72238	5.62221	4.19922	3.40053	2.28446	2.78669	11.85128	1.77874	0.46387	8.26939	5.78265	12.1303	5.63616	17.66183	21.22628	35.4248	22.55859	22.4714	14.19852	13.51144	20.55664	0.0	0.0	0.0	10.60268	2.79367	8.78557	13.36147	22.61789	0.0	0.0	0.0	23.39914	17.05497	0.19531	5.31878	7.84738	3.96554	5.36412	5.59431	5.81752	1.12653	6.20466	0.38016
3	1641359040.0	0.0	38.73989	48.62758	43.03414	53.61938	46.28209	55.79049	49.49951	49.10278	44.7998	59.4526	69.26182	61.57575	55.31529	56.81937	57.45152	51.48315	43.40908	42.69845	45.12242	42.5633	34.74208	40.57966	49.27717	48.45755	40.90227	52.44664	46.57418	35.60965	35.43963	0.0	0.0	3.93764	2.7274	6.5046	4.58636	5.25949	4.37709	10.47363	5.21415	0.08022	0.04534	4.46429	8.16825	0.0	0.0	0.0	14.5159	0.0	0.38016	0.0	0.0	0.0	7.52302	12.45466	6.9615	0.24763	5.57687	4.29339	5.11998	3.95857	3.06571	2.17634	2.71345	10.86426	1.59738	0.49526	7.39397	5.63965	11.7885	5.47921	16.47949	19.85212	33.4089	21.17048	21.14607	13.57422	13.12779	19.84515	0.0	0.0	0.0	10.60965	2.79367	8.75767	13.42076	22.91783	0.0	0.0	0.0	22.80971	16.38184	0.19531	5.35366	7.39746	3.98298	4.87932	5.11649	5.30483	1.12653	5.76869	0.35226
4	1641359100.0	0.0	39.02762	48.66246	43.32188	53.58015	45.84176	55.79485	49.14202	49.15946	44.30716	59.72726	69.15719	61.64115	55.21938	57.0112	57.50384	51.69242	43.56166	42.75077	45.18781	42.48047	34.99494	40.24397	49.3818	48.32676	41.22925	52.74745	46.84012	35.52682	35.66197	0.0	0.0	3.93764	2.63323	6.28488	4.45731	5.35017	4.33873	10.30971	5.11649	0.09417	0.04185	4.12598	7.78111	0.0	0.0	0.0	13.57422	0.0	0.36621	0.0	0.0	0.0	6.97196	11.39439	6.48368	0.25809	5.50711	4.37012	5.34668	3.90974	3.07617	2.17285	2.69601	10.92355	1.77525	0.50572	7.72531	5.74428	11.94196	5.64314	17.00963	20.23926	34.28781	21.88198	21.50879	13.67188	12.81041	19.50335	0.0	0.0	0.0	9.96094	2.60533	8.22056	12.42676	21.20536	0.0	0.0	0.0	21.59947	15.3983	0.1988	5.24902	7.59975	3.8923	5.13742	5.38853	5.59082	1.12653	5.9082	0.35226
5	1641359160.0	0.0	38.73989	48.9066	43.04286	53.68042	46.23413	55.92128	49.52131	48.98943	44.16765	60.00192	69.19207	61.59755	55.21066	57.16814	57.55179	51.91476	43.78401	42.74641	45.20961	42.28428	35.05162	40.71481	49.48643	48.9066	41.24669	52.47716	46.94911	35.32192	35.832	0.0	0.0	4.25153	2.80762	6.80106	4.78516	5.7373	4.6596	11.14328	5.48968	0.07324	0.04534	4.40499	8.30078	0.0	0.0	0.0	14.42522	0.0	0.3697	0.0	0.0	0.0	7.39397	12.21749	6.80455	0.24414	6.04771	4.62821	5.37458	3.93415	3.31682	2.19727	2.80064	11.79199	1.7892	0.51967	8.34263	5.77218	12.5	5.69196	18.34891	21.89244	36.68039	23.53167	23.1236	14.73912	13.8637	21.19838	0.0	0.0	0.0	10.62012	2.72042	8.53795	12.98479	22.22726	0.0	0.0	0.0	22.2168	15.99121	0.19531	5.29785	7.69043	3.96205	5.4548	5.59082	5.69894	1.14746	6.0512	0.37319
6	1641359220.0	0.0	39.24125	48.70605	43.04722	53.63246	46.02923	56.2221	49.1769	49.10714	43.75349	59.73162	69.44493	61.60627	55.19322	57.2597	57.61283	52.23301	44.0543	42.82488	45.27065	42.68973	35.12573	40.40527	49.34256	48.73221	41.33824	53.00467	46.57418	35.52246	35.81456	0.0	0.0	4.02134	2.6123	6.39648	4.5166	5.50014	4.39104	10.33761	5.15834	0.07324	0.04883	4.15039	7.88225	0.0	0.0	0.0	13.13825	0.0	0.36621	0.0	0.0	0.0	7.04869	11.57575	6.33022	0.25112	5.77567	4.5445	4.9142	3.47028	3.11454	2.131	2.79018	11.89314	1.82059	0.50223	8.02525	5.82101	12.06055	5.54199	17.41071	20.89495	34.61565	22.15402	21.80525	13.77651	13.06152	20.00558	0.0	0.0	0.0	9.78655	2.57394	8.1543	12.21749	20.71359	0.0	0.0	0.0	20.87054	13.15918	0.19182	5.29436	7.77065	3.94461	5.399	5.54199	5.60826	1.15444	6.08956	0.36272
7	1641359280.0	0.0	39.60746	49.29461	43.08646	53.85917	45.8374	55.89076	49.46899	49.29461	43.91915	59.78394	69.33594	61.57139	55.10603	57.33381	57.63463	52.48152	44.28973	42.84232	45.30552	42.53714	35.2478	40.27884	49.61286	49.04175	41.17257	52.62974	47.11478	35.98022	36.03254	0.0	0.0	4.00042	2.74135	6.58133	4.66309	5.3118	4.47824	10.70033	5.35017	0.08022	0.04883	4.53055	8.31822	0.0	0.0	0.0	14.47754	0.0	0.37319	0.0	0.0	0.0	7.56138	12.58371	6.9022	0.24414	6.11049	4.49219	5.0851	3.85045	3.30636	2.22168	2.79367	12.1024	1.68806	0.52665	7.82296	5.69196	11.76409	5.54548	16.61551	20.03348	33.6356	21.31348	21.41113	13.52539	13.08943	20.14509	0.0	0.0	0.0	10.32017	2.83552	8.95299	13.2115	22.66671	0.0	0.0	0.0	22.92829	15.32854	0.1988	5.42341	7.89969	4.1469	5.11998	5.36412	5.36761	1.12305	5.95703	0.36272
8	1641359340.0	0.0	39.3546	49.32949	43.15186	53.942	46.22977	56.16978	49.44284	49.04175	43.94967	60.04987	69.19207	61.64551	54.94908	57.37305	57.74798	52.7213	44.49027	42.8554	45.33604	42.87284	35.09957	40.62762	49.63466	49.1551	41.19437	52.4728	46.875	35.7448	36.07614	0.0	0.0	4.19224	2.83901	6.93359	4.92467	5.80008	4.75725	11.19559	5.64314	0.08022	0.04534	4.79562	8.82045	0.0	0.0	0.0	15.45759	0.0	0.38365	0.0	0.0	0.0	8.07757	13.51493	7.30678	0.24763	6.73131	4.87932	6.05818	4.52358	3.71094	2.44141	2.94713	13.46261	1.77176	0.52316	8.79604	5.91518	12.31864	5.65709	17.91295	21.78083	36.48507	23.04688	23.11663	14.76702	14.10435	21.46345	0.0	0.0	0.0	11.2514	3.13895	9.63309	14.34849	24.52916	0.0	0.0	0.0	24.98954	15.30762	0.1988	5.54897	8.73326	4.30385	5.60826	5.95703	5.89425	1.12305	6.55343	0.42899
9	1641359400.0	0.0	39.50718	49.27281	43.16929	53.87224	46.50443	56.30929	49.63466	49.14638	43.76657	60.07603	69.12231	61.68474	54.87061	57.56051	57.76978	52.87824	44.6603	42.88592	45.41452	42.68537	34.87723	40.06958	49.92676	49.42976	41.26413	52.70822	47.12786	35.55734	36.06306	0.0	0.0	4.41197	2.85645	6.83594	4.89676	6.06515	4.84096	11.75363	5.82101	0.08022	0.04534	4.45382	8.38449	0.0	0.0	0.0	14.54381	0.0	0.3697	0.0	0.0	0.0	7.59277	12.45815	6.90918	0.24763	6.50112	5.06766	5.93959	4.25502	3.69699	2.47977	2.96456	14.37291	1.87291	0.56501	9.13435	6.37905	13.11733	6.04422	19.13016	22.82017	38.62653	24.20829	23.69559	15.15416	13.48354	20.81473	0.0	0.0	0.0	10.57478	2.79018	8.97391	12.99526	22.32143	0.0	0.0	0.0	21.63783	11.23396	0.19182	5.32227	8.65653	4.01437	6.04422	6.26395	6.37905	1.09863	8.17522	0.41853
10	1641359460.0	0.0	39.78184	49.10278	43.30444	54.05971	46.00743	56.45752	49.51259	48.99379	44.25485	59.87113	69.26182	61.78938	54.81829	57.60847	57.91364	52.94364	44.69081	42.91207	45.39708	42.82488	35.0647	40.27012	49.80905	49.58235	41.53006	52.49459	47.41124	35.69685	36.11537	0.0	0.0	4.49219	2.88435	7.10449	5.01186	6.11049	4.87584	11.74665	5.90472	0.08719	0.04534	4.64565	8.67746	0.0	0.0	0.0	14.85421	0.0	0.37667	0.0	0.0	0.0	7.64509	12.58022	6.91616	0.24414	6.36509	4.83747	5.8803	4.26897	3.60282	2.36468	2.94015	14.30315	1.80315	0.54757	8.9216	6.29883	12.86621	5.98842	18.89648	22.52023	37.51046	23.48633	23.30845	14.82631	14.22642	22.07031	0.0	0.0	0.0	10.73521	2.8983	9.29827	13.38588	22.56208	0.0	0.0	0.0	22.018	11.37695	0.19531	5.43387	8.41239	4.07715	5.66057	5.96749	6.07561	1.11956	7.03823	0.41853
11	1641359520.0	0.0	39.27176	49.28153	43.26957	54.21666	46.09462	56.30929	49.50387	49.10714	44.0543	59.59211	68.85202	61.92889	54.85753	57.72182	57.87441	52.95672	44.76493	42.85104	45.49299	42.72461	35.02982	40.37476	49.89624	50.08807	41.42979	52.73002	47.08426	35.84943	36.03254	0.0	0.0	4.55148	3.10059	7.46024	5.31529	5.84542	4.82352	12.16169	6.04422	0.08022	0.0558	4.84096	8.94601	0.0	0.0	0.0	15.8796	0.0	0.38016	0.0	0.0	0.0	8.05315	13.22196	7.36956	0.24414	6.10003	4.20968	5.46526	4.20271	3.11105	2.11705	2.8983	14.19503	1.71247	0.51618	7.83343	5.88379	12.37095	5.68499	18.06989	21.86802	36.38742	22.89342	23.06083	14.61007	14.15667	21.8471	0.0	0.0	0.0	11.45368	2.72391	9.50405	14.21596	24.11761	0.0	0.0	0.0	22.11217	11.92104	0.19531	5.56641	7.41141	4.13993	4.82003	4.99442	5.21066	1.12305	6.00586	0.38016
12	1641359580.0	0.0	39.42871	48.8848	43.18237	54.10767	46.53495	56.81501	49.53003	49.10714	44.08482	59.72726	68.96973	61.98556	54.94036	57.7349	57.83081	52.89568	44.72569	42.84232	45.45375	42.6505	35.03418	39.97367	50.00523	49.54747	41.15513	52.55999	46.97963	35.89739	35.96279	0.0	0.0	3.19824	2.44489	5.29436	3.75977	4.23758	3.58887	8.8623	4.45033	0.07673	0.04883	4.18876	7.32073	0.0	0.0	0.0	13.54632	0.0	0.3697	0.0	0.0	0.0	7.47768	12.09542	6.8185	0.24763	6.393	4.48172	5.6536	4.18876	3.27846	2.28446	2.51465	10.66197	1.61133	0.54757	7.46024	4.95954	9.38895	4.32129	13.77999	16.52134	28.07268	17.2433	17.93736	11.46415	11.29674	16.84222	0.0	0.0	0.0	9.51451	2.78669	9.11691	12.63951	21.6204	0.0	0.0	0.0	21.95522	11.22001	0.19531	5.52804	8.41239	4.28641	5.14439	5.49665	5.39202	1.13002	5.9954	0.36621
13	1641359640.0	0.0	39.45923	48.73657	42.79436	54.24717	46.33004	56.66678	49.49951	49.02431	44.24177	59.88421	68.95229	61.97248	54.97524	57.70874	57.82209	52.81721	44.65158	42.83796	45.44503	42.63742	35.30012	40.62762	50.05755	49.93984	41.3426	52.47716	47.28917	35.98458	36.15025	0.0	0.0	4.72935	3.07617	7.60324	5.34319	6.27441	5.15137	12.40583	6.13491	0.07324	0.04883	5.0572	9.44824	0.0	0.0	0.0	15.74009	0.0	0.37319	0.0	0.0	0.0	7.71833	12.5	7.09752	0.24414	5.91867	4.49568	5.49316	4.07715	3.17732	2.19378	2.99944	15.77846	1.82757	0.51618	8.00432	6.15932	12.9534	6.00237	19.06041	23.0957	38.54283	23.9502	23.93624	15.18206	14.36244	22.17146	0.0	0.0	0.0	11.11886	2.62974	9.58775	13.71024	23.27706	0.0	0.0	0.0	21.64481	11.27232	0.19531	5.39202	7.80901	4.12946	5.43039	5.37458	5.69196	1.14397	5.91867	0.38016
14	1641359700.0	0.0	39.35896	49.04175	43.28265	54.2123	46.16002	56.78449	49.68262	49.22921	43.86248	59.57467	68.47709	62.05967	54.96652	57.70874	57.87005	52.79541	44.6167	42.82052	45.384	42.86412	35.335	40.50119	50.00087	50.21885	41.19001	52.79977	46.94475	35.76224	36.04998	0.0	0.0	4.05971	2.69252	6.46275	4.42941	5.29088	4.32478	11.01074	5.40946	0.07673	0.04883	4.45731	8.17522	0.0	0.0	0.0	13.60561	0.0	0.38016	0.0	0.0	0.0	6.69643	10.56431	6.17676	0.24414	4.65611	3.53306	4.48172	3.27148	2.66811	1.88337	2.79367	13.66141	1.63225	0.5406	6.78013	5.60477	11.7327	5.36063	16.53878	19.70215	33.41588	20.98912	20.8531	13.12779	12.35003	19.31152	0.0	0.0	0.0	9.48661	2.1868	8.67048	11.68736	19.601	0.0	0.0	0.0	18.53376	9.61565	0.19531	5.09556	7.10798	3.92369	5.07115	5.00488	5.14439	1.137	4.73982	0.33133
15	1641359760.0	0.0	39.22381	48.63194	42.79	54.09895	46.28209	56.25698	49.48207	49.29461	43.99763	59.91473	68.83458	62.06839	54.94036	57.81337	57.97032	52.85645	44.56002	42.78564	45.384	43.25213	35.46579	40.20473	50.1927	50.06627	41.37312	52.71258	47.33712	35.59222	36.39439	0.0	0.0	4.54799	2.90179	7.20215	5.01535	6.21512	4.97349	11.78502	5.84891	0.08371	0.04883	4.95605	9.26688	0.0	0.0	0.0	15.64941	0.0	0.38016	0.0	0.0	0.0	7.99037	12.71275	6.99986	0.24414	6.393	4.96652	5.84891	4.25502	3.6377	2.37863	2.93666	14.69029	1.85547	0.51618	8.62165	6.11398	12.31166	5.83496	17.94085	21.89593	36.15723	22.77483	22.88644	14.19852	13.61607	21.00307	0.0	0.0	0.0	10.55036	2.8111	9.97489	13.19754	22.22028	0.0	0.0	0.0	22.17494	11.45368	0.19531	5.38853	8.64955	4.36663	5.97796	5.9954	6.3058	1.12653	6.56041	0.38714
