REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1642395660.0	0.0	37.82436	48.68862	44.35948	56.04771	47.81233	56.47496	51.91476	52.6995	47.48971	61.34469	68.95665	58.74634	54.47824	56.72782	57.6695	45.89408	42.76385	42.52407	46.03795	44.03251	34.67233	42.00963	48.45755	50.34964	41.24233	52.66462	47.14966	35.08214	35.69685	0.0	0.0	3.80162	2.37165	8.74721	5.95354	10.17369	7.91364	15.33552	8.42634	0.11161	0.03836	10.40737	16.80385	0.0	0.0	0.0	19.19643	0.0	0.36621	0.0	0.0	0.0	8.21708	12.05357	7.22307	0.3139	10.13184	6.11398	6.13839	13.03362	6.97545	5.36761	4.43987	11.23744	4.34919	0.47433	7.21959	6.68597	9.81097	6.72433	38.18708	22.50279	34.65402	33.1264	17.90248	11.45717	13.43122	16.28418	0.0	0.0	0.0	15.69824	5.01186	12.65346	15.48898	25.16392	0.0	0.0	0.0	20.50781	11.7327	0.19531	4.84445	8.02874	6.26046	5.89076	5.36761	10.66197	1.21024	6.65109	0.3139
1	1642395720.0	0.0	38.84016	48.68426	44.37692	56.01283	48.05647	56.4052	51.72729	52.66462	47.31533	61.39265	68.89125	58.9992	54.52619	56.81501	57.70002	46.38236	42.92951	42.73333	46.13822	45.10498	34.47178	41.80472	48.49243	50.56763	41.25977	53.00467	47.99107	35.03854	35.55734	0.0	0.0	3.41448	2.21122	8.0113	5.47224	9.232	7.33119	14.45312	7.96247	0.11858	0.03488	10.26437	16.6469	0.0	0.0	0.0	19.15806	0.0	0.36621	0.0	0.0	0.0	8.60421	13.08245	7.28585	0.3139	10.9375	6.58482	6.57785	14.13923	7.14286	5.50711	4.55148	10.85379	4.53055	0.47433	7.44629	6.91964	9.60868	6.72782	37.73717	21.96568	33.23451	31.83245	17.613	11.32115	12.54883	15.67034	0.0	0.0	0.0	15.81334	5.3118	13.10338	15.97028	26.19978	0.0	0.0	0.0	22.56557	12.63602	0.19531	4.95257	8.82743	6.83245	6.08956	5.88379	11.43973	1.19629	7.12891	0.38016
2	1642395780.0	0.0	38.41727	48.60578	44.03687	56.35725	48.10442	56.21774	51.69678	52.80413	47.33712	60.94796	68.35938	59.19974	54.52183	56.96324	57.70438	46.81832	43.0821	42.85976	46.26029	44.66466	34.94699	41.63034	48.27445	50.46735	41.00255	52.93492	47.35892	34.95571	35.70121	0.0	0.0	3.09012	2.10658	7.33468	4.86886	8.23103	6.64411	12.81041	7.11496	0.11858	0.03836	9.49009	15.95633	0.0	0.0	0.0	17.83622	0.0	0.3697	0.0	0.0	0.0	7.84738	11.68736	6.95452	0.31738	9.95047	5.46177	5.85938	12.82785	5.90472	4.6875	3.79464	9.91211	4.04227	0.48828	6.33719	5.9361	8.17522	5.83147	32.4428	18.91741	28.49121	25.77079	15.43666	10.21205	11.26186	13.82533	0.0	0.0	0.0	14.16713	4.77121	12.15123	14.30315	23.74442	0.0	0.0	0.0	20.02999	11.2514	0.20229	4.85142	7.64858	5.78962	5.14788	4.83398	9.63309	1.19629	6.13839	0.28251
3	1642395840.0	0.0	38.77912	48.76273	44.3246	56.10003	48.06955	56.49676	51.57035	52.81285	47.21069	61.4624	68.51632	59.31309	54.58287	57.08967	57.74798	47.16274	43.11262	42.96439	46.39544	44.4118	35.15625	41.56494	48.68426	50.85972	41.24233	53.01775	47.96927	35.45707	35.73172	0.0	0.0	3.36217	2.28097	7.83691	5.54548	9.32268	7.28237	14.21945	7.92411	0.11509	0.04883	10.00977	16.70968	0.0	0.0	0.0	18.84417	0.0	0.37319	0.0	0.0	0.0	7.89969	11.69782	7.00335	0.32087	10.3132	5.60477	5.77916	12.42676	5.85589	4.79911	3.976	9.76214	4.18178	0.51967	6.35114	6.13142	10.1423	6.32673	39.45661	22.91783	33.42285	32.69392	18.40472	11.62807	12.7267	16.13072	0.0	0.0	0.0	15.7959	5.21066	12.56975	15.14718	25.61733	0.0	0.0	0.0	20.44155	11.57924	0.1988	4.85491	7.53697	5.87333	5.43736	5.08859	9.95396	1.18583	6.25698	0.3139
4	1642395900.0	0.0	38.56986	48.94148	43.81452	56.33545	47.86464	56.87169	51.75781	52.92184	47.11478	61.05259	68.74738	59.48312	54.56979	57.24226	57.81773	47.47663	43.21289	43.04722	46.51315	44.69517	34.71157	41.49519	48.32241	50.65482	41.05922	52.90004	47.55947	35.06906	35.832	0.0	0.0	3.52958	2.33677	8.381	5.72335	9.51102	7.4986	14.76702	8.16825	0.12207	0.03139	10.12137	16.73758	0.0	0.0	0.0	18.56515	0.0	0.36621	0.0	0.0	0.0	7.86133	11.57227	6.95452	0.32436	10.04116	5.9082	5.84891	12.25237	5.9954	4.91071	3.90974	8.61816	4.30734	0.49874	6.65458	6.25	11.08398	6.51855	42.42467	24.3478	35.55385	34.28781	19.75446	12.06403	13.34054	16.62598	0.0	0.0	0.0	16.15513	5.19671	12.51046	15.27623	25.9382	0.0	0.0	0.0	20.60547	11.47461	0.19531	4.87932	7.86133	6.16281	5.6815	5.22112	10.77358	1.19629	6.60226	0.30692
5	1642395960.0	0.0	38.60038	48.85428	44.00199	56.25262	47.90388	56.15234	51.3698	52.75617	47.372	61.1921	68.89125	59.71854	54.65698	57.28585	57.9616	47.69461	43.28265	43.15186	46.57854	44.39436	34.96007	41.44723	48.50987	51.09515	40.99383	52.56435	47.95619	35.40475	35.96279	0.0	0.0	3.88184	2.47977	9.48661	6.49763	11.06655	8.78209	17.22935	9.42383	0.11858	0.03488	11.42229	18.53725	0.0	0.0	0.0	22.49581	0.0	0.3697	0.0	0.0	0.0	9.50405	14.62054	8.27288	0.32436	12.93597	6.88477	7.0731	15.46456	7.17076	5.50014	4.62123	10.00628	4.8584	0.49526	8.4089	7.7567	11.39788	7.25098	44.39872	24.84305	38.89858	36.57227	20.77288	12.89062	15.54478	18.52679	0.0	0.0	0.0	19.75098	6.25349	15.30762	18.62095	31.67201	0.0	0.0	0.0	26.26953	14.4601	0.20229	5.03976	9.00879	7.05218	6.19071	5.96401	11.92801	1.19629	7.12542	0.40806
6	1642396020.0	0.0	38.28212	48.41396	43.8276	56.25262	47.87772	56.63191	51.47879	53.07443	47.69461	61.34905	69.0918	59.91908	54.74854	57.47332	58.15342	47.85592	43.37856	43.23469	46.66138	45.00035	35.02546	41.5475	48.44884	51.11258	41.0941	52.76489	47.45483	35.18241	36.25488	0.0	0.0	3.87137	2.42048	9.1204	6.33719	10.53641	8.47168	16.72363	9.20061	0.12207	0.04185	10.86775	18.0106	0.0	0.0	0.0	22.28306	0.0	0.37667	0.0	0.0	0.0	9.5738	15.12277	8.37751	0.3139	13.38588	7.244	7.62068	16.476	7.37305	5.64662	4.62472	10.66197	4.90374	0.50921	8.80999	7.80901	11.14676	7.06613	44.21038	25.03139	37.96387	36.83036	20.63337	12.62556	14.75307	18.12221	0.0	0.0	0.0	19.01158	6.46973	15.77846	18.29311	31.42439	0.0	0.0	0.0	25.84403	14.26828	0.19531	5.12695	9.84933	7.387	6.55343	6.35114	12.66392	1.19629	7.51256	0.41155
7	1642396080.0	0.0	38.45215	48.6145	43.64014	56.35725	47.91696	56.28749	51.81449	52.50767	47.54639	61.46676	69.22695	60.08911	54.86625	57.52128	58.32781	48.02159	43.44831	43.26085	46.75729	45.29681	35.30448	41.71753	48.20469	51.19542	41.08538	52.85645	48.42704	35.64889	36.09794	0.0	0.0	3.23312	2.19378	7.34166	4.95257	8.33217	6.48019	12.76158	6.97196	0.11161	0.03139	8.7786	14.24735	0.0	0.0	0.0	17.29911	0.0	0.3697	0.0	0.0	0.0	7.70787	11.51646	6.70689	0.3139	9.518	5.28041	5.58733	12.08845	5.50014	4.3457	3.49819	7.93108	3.71094	0.55455	6.37556	5.88728	9.75167	5.72335	37.84877	21.54715	31.34417	32.72531	18.06292	11.24791	11.06306	14.4322	0.0	0.0	0.0	12.94294	4.21317	10.88867	12.36049	20.57059	0.0	0.0	0.0	18.93485	10.5399	0.19531	4.72238	6.79408	5.3397	4.85491	4.53404	9.01576	1.18234	5.67453	0.27553
8	1642396140.0	0.0	38.75732	48.68426	43.74477	56.28749	47.79925	56.30929	51.64446	52.38996	47.01451	61.12671	69.43185	60.1763	54.91856	57.70438	58.44552	48.30933	43.58346	43.29572	46.87064	44.83032	35.23472	41.78728	48.21777	51.25209	41.02434	52.75181	47.71205	35.68813	36.0369	0.0	0.0	4.0632	2.52162	9.13086	6.36161	10.37946	8.24847	16.67132	8.94601	0.11858	0.04534	9.94001	16.67132	0.0	0.0	0.0	20.2567	0.0	0.36621	0.0	0.0	0.0	8.91462	13.59863	7.50558	0.31738	11.58622	7.09752	7.09054	14.70773	7.25795	5.53153	4.3457	9.76911	4.64565	0.57547	8.59026	7.4707	12.27679	7.16378	49.33036	27.80762	40.54129	42.12472	23.32241	14.2613	14.45661	19.01158	0.0	0.0	0.0	18.33845	6.17327	14.44266	16.73061	29.262	0.0	0.0	0.0	25.04185	13.64397	0.1988	5.04325	9.46219	7.37305	6.53599	6.16281	12.59417	1.20326	7.387	0.40109
9	1642396200.0	0.0	38.5655	48.47499	43.76657	56.66242	47.32404	56.32237	51.73165	52.6777	47.38944	61.12235	69.48417	60.29402	54.9578	57.78285	58.51092	48.7017	43.70989	43.45703	46.94911	45.24449	35.4745	41.25977	48.3442	51.38724	41.3426	53.13982	47.45919	35.74916	36.17641	0.0	0.0	3.82952	2.51814	9.0611	6.16281	10.18415	8.17174	16.2493	8.84138	0.10812	0.03139	10.80845	17.98619	0.0	0.0	0.0	21.27162	0.0	0.37319	0.0	0.0	0.0	8.81348	13.57073	7.71833	0.31738	11.69782	6.393	6.61272	14.15667	6.26395	4.79562	3.9481	8.10547	4.38407	0.64174	7.4149	6.85338	11.3909	6.66504	46.2786	26.14746	37.25586	36.15374	22.04939	13.63351	14.59612	18.5233	0.0	0.0	0.0	18.66978	6.21164	14.9135	16.94336	29.39453	0.0	0.0	0.0	23.63979	12.87667	0.19531	4.97698	8.39844	6.63714	5.82101	5.41992	10.85031	1.19629	6.70689	0.34877
10	1642396260.0	0.0	38.99711	48.77145	43.74913	56.32237	47.372	56.80629	51.43956	52.6995	47.14966	61.32289	69.59752	60.47276	55.04935	57.83953	58.58067	49.08098	43.81016	43.70117	47.02323	45.20961	35.09521	41.27284	48.29189	51.61394	41.29464	53.10931	47.95183	35.23036	36.21129	0.0	0.0	3.45982	2.3856	8.19266	5.56641	9.09947	7.23354	14.42871	7.9555	0.11161	0.03488	9.5738	16.0226	0.0	0.0	0.0	18.53027	0.0	0.36621	0.0	0.0	0.0	7.40095	11.24093	6.89523	0.32087	9.92257	5.30483	5.53153	11.7606	5.56989	4.36663	3.24707	6.90569	4.07017	0.51618	6.28836	5.8524	10.79102	6.12444	41.74456	23.88044	33.69141	32.02079	19.67773	12.05357	12.84877	16.18304	0.0	0.0	0.0	16.14118	5.20717	13.1522	14.46708	25.17787	0.0	0.0	0.0	19.75795	10.85728	0.19531	4.80608	7.2161	5.64662	5.28739	4.76772	9.45871	1.19629	5.89774	0.29297
11	1642396320.0	0.0	38.70937	48.71477	43.45703	56.83681	47.63794	56.44444	51.3698	52.55999	47.1889	60.63407	69.17463	60.59483	55.08423	57.96596	58.56759	49.53875	43.94095	43.8058	47.08426	44.78237	34.91647	41.12026	48.16982	51.66626	41.19001	53.09187	48.03467	35.36987	36.04998	0.0	0.0	3.88532	2.4728	8.75419	5.9954	9.81097	7.69392	15.37737	8.41588	0.10114	0.03139	9.76911	16.33998	0.0	0.0	0.0	18.84766	0.0	0.36621	0.0	0.0	0.0	7.66253	11.75014	6.8743	0.31041	10.226	6.02679	6.14188	12.79994	6.0512	4.90723	3.79464	7.98689	4.3457	0.54757	7.36956	6.66504	11.55831	6.58831	46.29255	25.58594	37.08496	35.55385	21.68666	13.30218	13.66141	17.49442	0.0	0.0	0.0	16.67829	5.40946	13.75209	15.02162	26.07073	0.0	0.0	0.0	21.19838	11.65946	0.1988	4.90374	8.29032	6.40695	6.15932	5.57687	11.18862	1.20675	6.80455	0.32785
12	1642396380.0	0.0	38.70937	48.67554	43.45703	56.52727	47.62486	56.37033	51.53983	52.6123	46.99271	61.17467	68.71687	60.68202	55.1409	57.99212	58.55887	49.83956	44.08046	43.86684	47.17582	45.25757	35.57914	41.3426	48.30497	51.77089	41.08974	52.9698	47.95183	35.27832	36.05434	0.0	0.0	3.29939	2.29143	7.73577	5.23507	8.524	6.89872	13.65444	7.49163	0.10463	0.03139	9.68541	16.1656	0.0	0.0	0.0	18.91741	0.0	0.36621	0.0	0.0	0.0	7.74972	11.80943	6.92662	0.32436	10.26437	5.35017	5.77218	12.42327	5.35017	4.4329	3.30287	6.94057	3.976	0.51618	6.45578	5.77567	10.04813	5.69196	39.61007	22.82366	31.78711	33.25893	19.06738	11.86872	12.17564	15.48549	0.0	0.0	0.0	16.18652	5.46177	13.69978	15.14021	26.01493	0.0	0.0	0.0	21.32045	11.649	0.19531	4.91769	7.63811	5.80008	4.96652	4.69796	9.64704	1.19629	6.01283	0.29994
13	1642396440.0	0.0	38.82708	48.54911	43.76221	56.26569	47.8472	56.63191	51.81013	52.67334	46.82704	61.07439	68.58608	60.7169	55.1627	58.06623	58.51528	50.1273	44.1197	44.02815	47.31533	45.29245	35.13445	41.14205	48.24829	51.51803	41.12462	53.07007	48.37472	35.14753	35.66197	0.0	0.0	4.18876	2.65416	9.39593	6.37556	10.512	8.31124	16.55971	9.07506	0.10463	0.04185	10.72475	17.756	0.0	0.0	0.0	20.56362	0.0	0.36621	0.0	0.0	0.0	8.53446	12.76158	7.49512	0.3139	11.15025	6.25698	6.44531	13.637	6.13491	4.9142	3.98298	8.19964	4.39104	0.55106	8.09501	6.81152	12.24191	6.85338	50.06975	27.96805	39.83329	42.46303	23.83859	14.48103	14.50195	18.74651	0.0	0.0	0.0	18.07687	5.94657	13.92299	16.12723	27.83901	0.0	0.0	0.0	22.54464	12.357	0.19531	4.9142	8.56934	6.65458	6.41741	5.82101	11.69782	1.1928	7.0452	0.35226
14	1642396500.0	0.0	38.39111	48.64502	43.33496	56.34417	47.62486	56.29185	51.40468	52.66026	46.78781	60.96976	68.41169	60.83461	55.2281	58.07931	58.57195	50.43248	44.21125	44.15894	47.35456	45.24013	35.43527	41.27284	48.06519	51.98887	41.42543	52.93492	48.10442	35.28268	36.01946	0.0	0.0	3.8644	2.4728	8.53795	6.01981	9.51102	7.55441	14.90304	8.2101	0.10812	0.03139	9.44127	15.66685	0.0	0.0	0.0	18.30008	0.0	0.3697	0.0	0.0	0.0	7.71484	11.39439	6.84989	0.31738	9.73424	5.71289	5.92913	12.2733	5.77916	4.58984	3.43192	7.23354	4.04227	0.52665	7.14634	6.17676	11.00377	6.28488	44.23479	24.81515	35.41783	37.70229	20.94727	12.83831	12.61858	16.40974	0.0	0.0	0.0	15.82031	5.15834	12.25237	14.18108	23.88044	0.0	0.0	0.0	20.17648	11.10142	0.19531	4.80608	7.91364	6.08608	5.78265	5.31878	10.65848	1.1928	6.49065	0.3139
15	1642396560.0	0.0	38.5219	48.44448	43.79708	56.4924	47.79925	56.47496	51.42212	52.49459	46.69625	60.83461	68.41169	60.90001	55.34145	58.07931	58.70274	50.57199	44.32024	44.25049	47.40688	45.50171	35.26088	40.88484	48.32676	51.62702	41.3426	52.83465	48.14366	35.35679	35.86251	0.0	0.0	3.65862	2.30887	8.06362	5.50014	8.89718	7.20215	13.4103	7.48117	0.11858	0.04534	8.10198	13.53585	0.0	0.0	0.0	16.18304	0.0	0.37319	0.0	0.0	0.0	6.95452	10.75265	6.20117	0.31738	9.38198	5.76869	5.78962	11.42578	5.81055	4.68052	3.38658	7.30678	3.80162	0.54408	7.31027	5.82799	10.88518	6.21164	42.71066	24.15946	33.74023	36.14328	19.82771	11.97684	11.62807	15.17857	0.0	0.0	0.0	14.42871	4.72238	11.88267	13.33008	22.2726	0.0	0.0	0.0	19.5173	10.78055	0.19531	4.84096	7.96945	6.09654	5.65709	5.37109	10.58524	1.18234	6.52553	0.32436
