REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1642827660.0	0.0	38.5873	48.05647	42.73769	52.6341	45.78509	57.39485	54.70058	54.29949	51.28697	66.07928	77.3141	62.71798	60.00628	60.67766	57.23354	43.93659	41.67829	41.90063	46.04231	46.92296	32.32683	46.70933	43.11262	40.0565	37.68921	51.06463	44.74749	32.95462	33.49958	0.0	0.0	6.99986	4.76772	11.34556	7.76018	9.88072	7.8404	15.92494	9.21108	0.12207	0.04883	6.72084	12.03265	0.0	0.0	0.0	18.98019	0.0	0.39062	0.0	0.0	0.0	9.38198	13.64746	7.80901	0.33482	16.77595	11.13281	6.40346	3.8644	11.51995	9.73772	8.28334	21.71805	7.67299	1.06027	12.48605	11.62109	12.99874	11.4781	27.53557	24.86049	38.8079	23.20033	23.30148	14.01716	15.6529	20.65081	0.0	0.0	0.0	34.69587	15.94587	13.76604	17.50837	36.92104	0.0	0.0	0.0	23.68862	12.30818	0.19182	6.02679	8.74721	6.18722	9.0053	6.90569	7.94503	1.14746	13.12779	0.24065
1	1642827720.0	0.0	38.67013	48.20469	42.60254	52.9698	45.32732	57.41228	54.47388	54.62211	51.24773	65.99208	77.09176	62.68311	59.99756	60.72998	57.2161	43.86248	41.61726	41.83524	45.94203	46.89244	32.57969	46.58726	43.01671	39.65977	37.46251	51.06463	44.27229	32.42711	33.12029	0.0	0.0	6.4767	4.43638	10.5399	7.45675	9.15876	7.22656	15.10882	8.72628	0.12207	0.04534	5.91169	10.71777	0.0	0.0	0.0	16.19001	0.0	0.39062	0.0	0.0	0.0	8.04618	11.42229	7.18471	0.33831	13.86719	9.35756	5.36412	3.22963	10.60617	8.84835	7.5858	20.07533	7.09752	1.08468	11.64551	11.16071	12.63253	11.11189	25.80915	23.90834	37.25586	22.6144	22.6144	13.39983	14.59263	18.86858	0.0	0.0	0.0	31.24651	13.46261	11.40834	14.45661	31.48019	0.0	0.0	0.0	19.08133	10.14579	0.19531	5.43387	7.05218	5.11998	7.48814	5.69894	7.13239	1.14746	11.64551	0.19531
2	1642827780.0	0.0	38.66577	48.15238	42.68537	53.04391	45.44939	57.55179	54.76161	54.05971	50.77253	65.90053	76.83454	62.64823	60.02372	60.82589	57.17686	43.79708	41.59982	41.72625	45.9028	46.53931	32.7846	46.25157	42.8772	40.1001	37.52354	50.96	44.49463	32.83255	33.15517	0.0	0.0	7.2719	4.72238	11.31417	7.63811	10.12486	7.83343	15.03557	8.73675	0.11858	0.04883	6.00237	10.92006	0.0	0.0	0.0	16.22489	0.0	0.39062	0.0	0.0	0.0	8.238	12.05706	7.20215	0.33133	15.33901	11.18164	6.29883	4.2341	12.16518	10.7666	9.18666	23.84905	8.49261	1.08817	13.98228	12.27679	13.0964	12.36747	27.48326	25.00349	39.54381	23.78976	23.7514	13.5498	13.66839	18.59305	0.0	0.0	0.0	29.57589	12.36049	11.87919	14.67983	31.64062	0.0	0.0	0.0	21.48438	10.90611	0.19182	5.6815	9.53892	6.6755	9.57031	7.40095	8.51004	1.14746	14.12877	0.23717
3	1642827840.0	0.0	38.73989	47.78181	42.51099	52.6995	45.51043	57.36869	54.6875	53.6499	51.03411	65.86129	77.3577	62.62207	60.02372	60.98284	57.13763	43.71425	41.53006	41.65213	45.89844	46.11642	32.35735	46.22977	42.75513	40.18729	37.46687	51.01231	44.26793	32.87179	33.32955	0.0	0.0	6.81152	4.4608	10.80845	7.42536	9.49358	7.41141	14.4043	8.51004	0.11858	0.04883	6.11398	11.02121	0.0	0.0	0.0	16.31906	0.0	0.39062	0.0	0.0	0.0	8.38449	12.18959	7.24051	0.33482	14.89258	10.54339	5.94657	3.90276	11.67341	10.04813	8.56585	22.25516	7.85435	1.08817	12.54185	11.75014	12.44768	11.43973	26.32882	23.7514	37.22447	24.93373	22.56208	12.92899	13.57771	18.06641	0.0	0.0	0.0	30.08859	12.67787	11.98382	14.83329	31.31627	0.0	0.0	0.0	20.75893	10.58175	0.19531	5.71987	8.87626	6.12444	8.89718	6.83943	7.79855	1.16839	12.74414	0.21624
4	1642827900.0	0.0	38.49139	48.07826	42.45431	52.74745	45.50607	57.36869	54.72238	53.71094	50.463	66.05748	77.14408	62.66131	60.08039	61.12235	57.21174	43.66629	41.5911	41.58238	45.79381	46.14694	32.84999	46.45211	42.21017	39.8298	37.3448	51.02103	44.29408	33.0767	33.15517	0.0	0.0	6.78711	4.60728	10.86775	7.49163	9.61217	7.59975	15.70173	9.17969	0.12207	0.04534	6.83245	12.33956	0.0	0.0	0.0	18.12919	0.0	0.39062	0.0	0.0	0.0	9.02623	13.48005	7.55441	0.33133	15.81334	10.85728	6.23256	3.84347	11.41881	9.96791	8.6077	22.14355	7.85086	1.09863	12.56975	11.74316	12.69531	11.66992	26.6183	24.44545	38.06501	23.30148	23.33636	13.64397	14.69727	19.43011	0.0	0.0	0.0	33.0671	14.47405	13.24289	16.25279	34.16225	0.0	0.0	0.0	22.37026	11.34208	0.19182	5.94308	8.8623	6.13491	8.77162	6.92313	7.71136	1.17885	12.80692	0.2267
5	1642827960.0	0.0	38.40419	48.12186	42.72461	52.81721	45.71969	57.10711	54.85753	53.56707	50.14474	65.66511	77.15716	62.76594	60.13707	61.28802	57.33381	43.67501	41.55186	41.48647	45.74585	45.93767	32.39223	46.45211	42.61562	40.18729	37.36659	50.85536	44.15458	32.95027	33.15081	0.0	0.0	6.67899	4.60379	10.87123	7.50209	9.37151	7.50558	16.27372	9.61914	0.12556	0.04883	7.1603	12.86272	0.0	0.0	0.0	18.73256	0.0	0.39062	0.0	0.0	0.0	9.32966	14.16016	7.77762	0.32785	16.09235	10.71777	6.19071	3.64816	10.84682	9.26339	8.09849	21.12165	7.24051	1.10561	12.42676	11.43973	12.58022	11.12932	25.8231	23.6921	37.69182	22.8411	23.13407	13.67188	15.15416	19.56613	0.0	0.0	0.0	33.31473	14.68331	13.8358	16.83524	35.61663	0.0	0.0	0.0	23.2387	11.89662	0.19182	5.95703	9.21456	6.33719	8.9774	6.7627	7.59975	1.15792	12.23493	0.24065
6	1642828020.0	0.0	38.6091	47.98235	42.61562	53.05699	45.71969	57.17686	54.72238	53.81993	50.13166	65.58664	77.34898	62.91853	60.20246	61.52344	57.421	43.70989	41.73497	41.48647	45.71969	45.78509	32.5579	46.11206	42.97747	40.11754	37.3012	51.04283	43.98455	32.57969	33.10721	0.0	0.0	7.46722	4.99442	12.01172	8.19615	10.51549	8.32868	17.56417	10.34807	0.12207	0.04883	7.14634	12.91504	0.0	0.0	0.0	18.62095	0.0	0.39062	0.0	0.0	0.0	9.22503	13.79743	7.86482	0.32785	16.20396	11.20257	6.4209	3.9481	11.91755	10.52595	9.16225	23.48633	8.2659	1.10212	13.51842	12.38142	13.93345	12.15123	27.59487	26.1649	41.89802	24.62333	24.92676	14.93443	16.17257	21.23326	0.0	0.0	0.0	34.17969	14.81934	13.46959	16.80385	35.43178	0.0	0.0	0.0	22.57254	11.59668	0.1988	5.8524	9.19713	6.37207	9.12388	7.01381	8.3531	1.16141	13.37542	0.23717
7	1642828080.0	0.0	38.48267	47.64666	42.77693	53.1747	45.51915	56.87605	54.77469	53.25753	50.06627	65.22914	77.5626	63.02752	60.30709	61.63679	57.62591	43.75785	41.80908	41.48211	45.61942	45.8374	32.12193	45.81124	43.07774	40.51862	37.34916	50.96436	44.37692	32.61457	33.36443	0.0	0.0	7.6137	5.04674	12.11984	8.2659	10.68987	8.38797	17.899	10.512	0.12207	0.04883	7.15681	12.93945	0.0	0.0	0.0	18.41518	0.0	0.39062	0.0	0.0	0.0	9.05413	13.57073	7.55092	0.31738	15.95633	11.24791	6.44531	4.11203	12.22447	10.84333	9.30176	23.88393	8.39844	1.11258	14.07296	12.71973	14.22294	12.45117	28.21568	26.52065	42.28167	25.31041	25.05232	15.15765	16.28069	21.22977	0.0	0.0	0.0	33.29032	14.47754	13.12081	16.58761	34.66797	0.0	0.0	0.0	22.12612	11.32115	0.1988	5.83496	9.31222	6.50112	9.37151	7.22656	8.63909	1.1649	14.02762	0.23368
8	1642828140.0	0.0	38.28648	47.4156	43.02979	52.75181	45.50171	56.81501	54.65698	53.51911	49.53003	64.47928	77.1746	63.16267	60.35505	61.68039	57.78285	43.78401	41.93987	41.53006	45.54967	45.66302	32.52738	45.8592	42.96439	40.75841	37.60202	51.00795	44.3028	32.60149	32.97206	0.0	0.0	5.86635	4.12598	10.11789	6.87081	8.53446	6.99986	14.41825	8.61468	0.12207	0.04883	6.45229	11.49554	0.0	0.0	0.0	17.29213	0.0	0.39062	0.0	0.0	0.0	8.84487	13.40681	7.23703	0.33133	14.94489	10.1981	5.88728	3.53306	10.04116	8.4089	7.51953	18.85812	6.84989	1.09515	11.32464	10.36551	11.12932	9.63309	21.13211	20.75544	32.6416	19.76144	19.71261	12.11635	13.41727	17.08287	0.0	0.0	0.0	30.44434	13.60212	12.67439	15.20996	31.9615	0.0	0.0	0.0	20.88797	10.57129	0.19182	5.7966	8.6077	5.7966	8.49261	6.46275	7.02079	1.15095	11.41532	0.22321
9	1642828200.0	0.0	38.46959	47.30225	42.55022	52.74745	45.39708	56.57523	54.83573	53.95508	49.53439	64.76266	76.93481	63.30218	60.39865	61.7763	57.9398	43.81888	42.00963	41.59546	45.42324	45.41016	32.52302	45.97691	43.59218	40.35732	37.53226	50.73329	44.15894	32.83691	33.12465	0.0	0.0	7.4707	4.96303	11.91755	8.12291	10.43527	8.31473	17.38979	10.19113	0.12207	0.05232	7.0452	12.76158	0.0	0.0	0.0	19.55915	0.0	0.39062	0.0	0.0	0.0	9.02972	13.8916	7.42536	0.32785	15.63546	10.99679	6.27093	3.92369	11.71177	10.20159	8.90067	22.77483	8.12291	1.11607	13.48354	12.16867	13.68931	12.03265	25.88937	25.23019	40.26925	23.82812	23.58398	14.58217	15.48898	20.01256	0.0	0.0	0.0	32.72879	14.36244	12.4442	15.67383	32.71484	0.0	0.0	0.0	20.63337	10.46666	0.19182	5.60826	8.87626	6.25698	8.98786	6.90569	8.238	1.14746	12.30469	0.24065
