REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640581260.0	0.0	38.99275	48.366	43.5573	54.06407	46.48699	61.50164	58.63735	54.04227	50.30169	64.98064	71.3501	60.42916	55.21938	59.64443	59.87985	48.35292	44.93059	44.0979	47.36328	50.45428	36.20257	44.51643	48.98943	42.76385	41.01562	51.34801	45.01779	33.72192	34.16661	0.0	0.0	1.82408	2.03683	7.58929	7.4428	7.15681	5.54199	10.2853	5.11649	0.06627	0.04534	12.60463	7.47768	0.0	0.0	0.0	18.50586	0.0	0.3418	0.0	0.0	0.0	10.10045	14.87863	10.52595	0.27204	8.48214	7.8125	7.7567	7.17076	11.63156	10.6829	14.19852	100.07324	7.54743	0.70103	12.12333	11.64202	14.2055	8.68094	49.88142	31.83245	35.89565	40.18555	25.01046	17.10728	11.98033	18.97321	0.0	0.0	0.0	22.48884	7.37653	13.37193	12.83482	26.58343	0.0	0.0	0.0	20.8531	10.49107	0.31738	5.34319	9.22154	5.29785	8.62165	6.68248	9.0611	0.92076	2.64369	0.48131
1	1640581320.0	0.0	38.72681	48.49679	43.3306	54.02483	46.63958	61.46676	57.99212	54.19486	50.83357	64.7801	71.16263	60.5338	55.27605	59.69674	60.02808	48.81505	45.10498	44.17637	47.49407	50.6243	36.06306	44.39436	49.55183	43.57038	40.802	51.13002	45.55402	33.85707	34.41947	0.0	0.0	1.82757	1.92174	6.72084	6.48717	6.38951	4.93164	9.21456	4.79911	0.06627	0.04883	11.6769	7.38002	0.0	0.0	0.0	18.68373	0.0	0.3418	0.0	0.0	0.0	11.08398	16.3644	12.03265	0.26855	9.81097	8.94252	8.33566	7.95201	16.00865	11.81641	13.67885	97.87946	7.4707	0.70801	12.21052	11.24442	12.29771	7.8125	42.88853	27.4135	30.10951	31.19071	21.75293	14.6868	10.73521	16.5911	0.0	0.0	0.0	22.00405	8.01479	14.0067	12.90109	26.39858	0.0	0.0	0.0	22.8132	11.42578	0.31738	5.41643	10.36551	5.70592	9.57031	7.387	8.99484	0.92076	2.57045	0.49526
2	1640581380.0	0.0	38.814	48.02159	43.44395	54.43028	46.4216	60.92181	57.92672	54.28641	50.40196	64.84549	71.44165	60.63843	55.40248	59.84061	60.05423	49.37744	45.30988	44.27665	47.66846	50.75945	36.21565	44.39	49.37744	43.41779	40.66249	51.54419	45.64558	34.10557	34.61129	0.0	0.0	2.1031	1.988	7.65206	7.48814	7.4428	5.64314	10.26786	5.10254	0.06278	0.04534	12.24888	7.39746	0.0	0.0	0.0	18.56515	0.0	0.3418	0.0	0.0	0.0	10.88518	16.14118	11.7327	0.26855	10.44224	9.42034	8.55539	8.72628	21.60993	14.82631	16.63295	100.07324	8.82394	0.70452	13.9195	12.41629	14.54032	9.34012	50.77427	32.4986	36.28627	35.40039	25.33831	17.5014	11.92104	19.0046	0.0	0.0	0.0	22.45745	8.2101	13.82185	12.9255	26.81362	0.0	0.0	0.0	22.64927	11.43276	0.31738	5.3397	10.9933	5.5978	10.26437	8.02176	9.13086	0.90332	2.89132	0.51618
3	1640581440.0	0.0	38.7704	47.99107	43.45703	54.62211	46.76165	60.88693	57.99648	54.1469	50.21449	64.69291	71.24983	60.79538	55.55507	59.97576	60.15887	49.98343	45.4058	44.38128	47.85592	50.82485	36.58186	44.22433	48.97199	43.87556	41.22925	51.6619	46.09462	34.26688	34.3192	0.0	0.0	1.84501	2.04729	7.64509	7.51256	7.27539	5.56989	10.35854	5.12347	0.05232	0.04185	12.23493	7.53697	0.0	0.0	0.0	18.48493	0.0	0.3418	0.0	0.0	0.0	10.06906	14.85073	10.70033	0.26855	8.51702	7.89272	7.20912	6.99986	12.8139	11.02818	14.35547	100.07324	7.55441	0.78823	12.10589	11.64202	14.23689	8.72977	49.60938	31.77665	35.32017	33.00432	24.99302	17.07589	12.55232	18.58608	0.0	0.0	0.0	24.86747	8.80999	13.13477	13.43471	28.59933	0.0	0.0	0.0	20.41364	10.45619	0.31738	5.30483	8.69838	5.12695	8.20312	6.28488	9.02274	0.90332	2.6123	0.49526
4	1640581500.0	0.0	39.03198	48.1829	43.5573	54.28205	46.96655	60.4684	57.58667	54.4172	49.87444	64.74958	71.41985	60.92616	55.62919	60.12835	60.27658	50.36708	45.55838	44.50771	48.08698	51.11258	36.58186	44.03687	49.75673	43.90172	41.10282	51.53983	45.82432	34.2974	34.71157	0.0	0.0	2.04032	2.02985	7.76018	7.63811	7.51604	5.70243	10.68638	5.32227	0.06627	0.04883	12.65346	7.87528	0.0	0.0	0.0	19.6882	0.0	0.34528	0.0	0.0	0.0	11.31069	16.92592	12.25586	0.26855	10.30971	9.39941	8.62863	8.62165	12.84528	11.4502	16.32603	100.07324	8.42634	0.81961	13.39286	12.31864	14.91699	9.30176	51.26256	33.4368	36.79548	32.22307	25.68708	17.60951	12.9255	19.33594	0.0	0.0	0.0	27.96456	10.46666	14.66588	14.8298	31.88128	0.0	0.0	0.0	24.15597	12.33608	0.31738	5.55594	10.67941	5.78265	9.88421	7.71833	9.09249	0.89634	2.88783	0.5127
5	1640581560.0	0.0	38.42163	48.46627	43.31752	54.58723	46.53931	60.88257	57.34253	54.19922	49.99215	64.66239	71.91685	60.95232	55.71202	60.22426	60.35069	50.55455	45.61506	44.62542	48.20033	50.78997	37.0963	43.79272	49.6521	44.08046	41.20745	51.52675	45.94639	34.05762	34.40203	0.0	0.0	1.81013	1.87988	6.8185	6.6755	6.49065	4.97349	9.27734	4.6596	0.0558	0.04185	11.42927	7.33817	0.0	0.0	0.0	18.34194	0.0	0.3418	0.0	0.0	0.0	11.11189	16.21443	12.42676	0.27204	10.64104	9.38546	8.34612	9.30873	11.50949	10.77009	13.6649	100.07324	7.81948	0.86147	12.12681	11.41532	12.59068	8.01828	43.33496	27.65765	30.71987	26.35672	22.43304	14.86119	11.51995	16.51437	0.0	0.0	0.0	26.93569	10.512	13.59166	13.48354	29.64216	0.0	0.0	0.0	22.8411	11.63504	0.31738	5.47224	10.04116	5.72684	9.27037	7.11844	8.95647	0.88588	2.58789	0.49177
6	1640581620.0	0.0	38.97967	48.05647	43.02979	54.45644	46.41724	60.28094	57.52563	54.12946	50.36708	64.12179	72.20459	60.95232	55.75126	60.21554	60.34633	50.54583	45.74149	44.6603	48.32676	51.11258	37.26196	43.8712	49.73493	44.08482	41.17693	51.83629	45.84176	34.26688	34.60257	0.0	0.0	1.59738	1.82408	6.35463	6.16281	5.96401	4.52706	8.41239	4.21666	0.0558	0.04883	10.38295	6.82199	0.0	0.0	0.0	16.38881	0.0	0.3418	0.0	0.0	0.0	9.66797	13.86021	10.72126	0.26855	9.09598	7.88225	7.01032	7.8404	10.03069	9.71331	12.39537	97.31794	6.58133	1.03237	10.97935	10.52595	11.76758	7.16727	40.47852	25.96959	29.12946	25.24065	21.02051	13.90904	11.11537	15.62849	0.0	0.0	0.0	24.2048	9.31222	12.03265	12.40234	27.09961	0.0	0.0	0.0	19.56613	10.04813	0.32436	5.256	8.59375	5.29785	7.7567	5.89425	8.90416	0.89634	2.37863	0.47084
7	1640581680.0	0.0	38.53498	47.9344	42.90771	54.60031	46.12514	60.49456	56.95452	54.16434	50.16218	64.64495	71.93429	60.95668	55.78177	60.19374	60.43352	50.60686	45.76329	44.78237	48.36164	51.07771	37.66741	43.59654	49.81777	44.03687	40.71917	51.69678	45.37964	34.33228	34.89467	0.0	0.0	2.04381	2.131	8.05664	7.97991	7.71833	5.92564	11.21652	5.58036	0.0558	0.04534	13.29869	8.31124	0.0	0.0	0.0	20.41016	0.0	0.34528	0.0	0.0	0.0	11.97684	17.66183	13.44169	0.27204	11.51297	10.226	8.54841	10.0272	12.34305	11.9036	16.40276	100.07324	8.51353	0.93471	13.36844	12.53139	15.23438	9.29827	52.46582	34.15527	37.47907	32.60672	26.48228	17.94434	13.85672	20.31599	0.0	0.0	0.0	28.77372	10.71777	15.09138	14.87863	32.65555	0.0	0.0	0.0	24.36175	12.38839	0.31738	5.54897	10.69685	5.75126	9.86677	7.68345	9.16574	0.90332	2.9262	0.5127
8	1640581740.0	0.0	38.48267	47.9344	43.01671	54.74418	46.65266	60.18938	57.12019	54.03791	50.02703	64.76702	72.08688	61.01772	55.82973	60.33761	60.52508	50.6897	45.74585	44.8216	48.47499	50.97743	37.66305	43.70989	49.82213	44.16765	41.43415	51.58779	45.54967	34.26252	34.5023	0.0	0.0	1.88337	2.00195	7.30678	7.31724	6.9615	5.36412	10.12486	5.06069	0.0558	0.04883	12.25237	7.76018	0.0	0.0	0.0	19.03251	0.0	0.34877	0.0	0.0	0.0	11.38044	16.67132	12.75809	0.26855	10.86775	9.61914	8.19266	9.54241	11.5618	11.08398	14.70424	100.07324	7.92759	0.9103	12.65695	11.90011	13.35449	8.62514	46.85059	30.02232	33.46122	28.82952	24.22224	16.41671	13.09989	19.08831	0.0	0.0	0.0	27.69601	10.6829	14.12528	14.01367	31.0791	0.0	0.0	0.0	23.22824	11.74316	0.31738	5.43387	10.0865	5.61175	9.26339	7.14634	9.07506	0.90332	2.6716	0.49526
9	1640581800.0	0.0	38.46959	47.77745	43.0603	54.11203	46.63958	60.15451	56.9022	54.46516	50.07499	64.45748	72.5272	61.09183	55.86025	60.39429	60.59483	50.88152	45.77637	44.83904	48.57091	51.20414	37.64997	43.63142	50.11422	44.56438	41.24669	51.6619	45.84176	34.53718	34.78132	0.0	0.0	1.7613	2.01242	7.14983	7.0452	6.73131	5.18973	9.74121	4.9421	0.05232	0.04883	11.99777	7.50209	0.0	0.0	0.0	18.50237	0.0	0.34528	0.0	0.0	0.0	10.96889	16.01911	12.23842	0.26855	10.12137	9.05762	7.69043	8.70884	11.32812	10.72126	13.71373	100.07324	7.60672	1.01493	12.10938	11.54785	13.07896	8.09849	44.94978	28.70745	32.01381	27.76576	23.17592	16.27023	13.24289	18.74302	0.0	0.0	0.0	27.131	10.20159	13.86021	13.67885	30.13044	0.0	0.0	0.0	22.46094	11.42927	0.31738	5.4269	9.61565	5.53502	8.85184	6.81501	9.05064	0.89983	2.57045	0.49526
