REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640149260	0	37.89411	45.0919	38.89247	49.88752	40.23089	48.32241	42.1099	38.47831	34.19713	45.66738	55.58995	45.51479	51.63574	58.74198	65.20735	56.31801	53.59759	56.31801	60.93488	58.22754	39.88647	33.61729	50.72457	46.84448	43.25213	53.07443	52.1589	33.33827	36.93935	0	0	1.52065	1.54157	5.03627	4.68052	5.60826	4.2341	6.98591	3.15639	0	0.12207	14.12877	9.55985	0	0	0	13.18359	0	0.40109	0	0	0	5.86984	8.40541	6.28488	0.19531	9.80399	6.97545	5.30134	3.06571	2.5844	1.9322	4.29688	25.06278	4.91071	0.61733	7.08357	10.03418	13.38937	6.67899	39.36942	29.09459	29.73982	26.61482	21.24023	9.48661	14.29618	20.70312	0	0	0	30.06069	13.21498	8.47866	14.45661	31.86035	0	0	0	20.63337	10.87821	0.20926	6.00586	9.28781	6.50112	9.52846	6.92662	10.08998	1.41602	5.17578	0.26855
1	1640149320	0	38.15133	44.98727	38.78348	49.78725	40.22653	48.39652	42.44559	38.34752	34.21892	45.47991	55.17142	45.0483	51.60086	58.77686	64.92397	56.52291	53.32729	56.40084	61.02208	58.02264	39.72953	33.56498	50.07499	46.26465	43.287	52.23737	51.6401	33.38187	36.99166	0	0	1.62179	1.5625	5.05022	4.67704	5.62919	4.25153	7.23354	3.22963	0.00698	0.12207	15.53781	10.5678	0	0	0	14.91699	0	0.39062	0	0	0	6.74177	9.56334	7.28934	0.19182	11.31417	7.56836	5.88379	3.47028	2.69601	1.92522	4.4329	24.86747	4.93513	0.61035	7.34863	10.35156	13.83231	6.99289	40.17508	29.6875	31.20117	27.99247	21.78432	9.91211	15.15765	21.51576	0	0	0	34.38198	15.20996	9.97489	16.64342	36.48158	0	0	0	23.91881	12.56278	0.21973	6.59528	10.43178	7.34863	10.78404	7.73577	13.00223	1.42648	6.07561	0.31041
2	1640149380	0	37.94207	45.08318	38.95351	49.3818	40.305	48.56655	42.3148	38.44779	34.14481	45.27501	55.44172	44.69953	51.50059	58.7071	64.67547	56.81501	52.99595	56.46188	61.18338	58.2319	39.83416	33.59549	50.45428	46.38672	43.19981	52.37688	52.35509	33.33391	36.75188	0	0	1.53111	1.54855	4.8863	4.53753	5.30831	4.09807	7.16378	3.39704	0.01046	0.12556	15.99121	11.06655	0	0	0	15.61105	0	0.39062	0	0	0	7.09054	10.09696	7.68694	0.18485	12.11286	7.49163	5.99888	3.53655	2.5844	1.71945	4.1469	22.00405	4.82352	0.64523	6.83594	9.61565	12.98131	6.53599	37.28725	27.64718	28.53306	25.49874	20.09626	9.61565	14.67983	20.41713	0	0	0	34.57031	15.19601	10.40039	17.02358	37.09542	0	0	0	24.95117	13.16964	0.22321	6.62319	10.50502	7.52999	10.72824	7.69741	12.76507	1.41602	5.89076	0.28251
3	1640149440	0	38.26468	45.01779	38.77476	49.49515	39.90391	48.23957	42.39764	38.17749	34.26252	45.20961	55.06679	44.32896	51.42212	58.71146	64.488	57.0112	52.73002	56.5142	61.26622	58.65914	39.24997	33.87015	50.74201	46.11642	43.21725	51.98015	52.27661	33.45598	36.90011	0	0	1.54506	1.61482	5.68848	5.25251	6.35114	4.70494	8.85533	4.09459	0.02093	0.12207	17.69322	12.07101	0	0	0	16.63295	0	0.40109	0	0	0	6.6755	9.8005	7.25098	0.19182	11.19908	7.02776	5.59082	3.07268	2.51116	1.61482	4.69796	27.8983	5.00837	0.62779	6.99986	10.86077	15.82729	7.59975	46.11468	34.16922	34.78655	30.84891	24.12458	10.95145	17.2433	24.50823	0	0	0	38.30566	16.67829	10.49456	18.24079	40.31808	0	0	0	23.75488	12.77204	0.21275	6.31278	9.46917	6.90569	9.51451	6.85686	12.77204	1.4195	5.97098	0.32087
4	1640149500	0	38.05978	44.95239	38.63961	49.27717	39.99111	48.37908	42.14478	37.68485	33.99658	45.1573	55.35453	44.06738	51.21286	58.71146	64.17411	57.18558	52.54255	56.58831	61.34033	58.63299	39.47667	33.62165	50.38016	46.51751	43.56166	52.31149	52.03247	32.90667	37.00038	0	0	1.67062	1.5625	4.81655	4.48172	5.51409	4.1748	6.97893	3.22614	0.02441	0.12207	14.58915	10.21205	0	0	0	14.31362	0	0.39062	0	0	0	6.77665	9.8284	7.17425	0.19182	11.60366	7.7846	6.25	3.60979	2.89481	2.01939	4.39453	23.76535	5.18973	0.60338	7.47419	10.4841	13.4382	6.9022	39.36593	29.40151	29.79213	26.5067	21.06585	9.375	14.18108	20.14509	0	0	0	33.18569	14.73912	9.79701	16.09584	35.55036	0	0	0	24.16643	12.49302	0.21624	6.7906	11.15025	7.78111	11.55483	8.17174	13.89509	1.42648	6.61272	0.3139
5	1640149560	0	38.23417	45.12678	39.16713	49.53003	40.00419	48.42704	42.21453	37.71537	33.5519	44.91752	54.6439	43.77529	50.90768	58.68094	63.7861	57.43844	52.32893	56.75834	61.4406	58.96868	39.8298	33.4865	50.36272	46.24285	43.28265	52.35509	51.69242	33.42111	37.13989	0	0	1.75432	1.6183	5.58733	5.22461	6.27441	4.74679	7.88225	3.54004	0.02441	0.12556	17.26074	11.9315	0	0	0	16.63295	0	0.39062	0	0	0	7.31027	10.79102	7.92759	0.19531	12.93248	8.26242	6.6476	3.80162	3.05873	2.09263	4.70494	25.83008	5.35017	0.63128	7.96945	11.17815	15.38086	7.34166	44.51381	33.23103	34.02623	30.17229	23.90834	10.89565	16.82478	23.94671	0	0	0	38.77999	17.14565	11.05608	19.07785	41.58412	0	0	0	27.14146	14.32059	0.23019	7.04869	11.71875	8.16476	12.01869	8.43331	14.58566	1.4195	6.97196	0.37319
6	1640149620	0	37.80256	44.79545	38.82272	49.36	39.92571	47.99979	42.24505	37.92027	34.06634	44.51643	54.77905	43.52679	50.55019	58.6853	63.34141	57.7349	52.23737	56.88913	61.506	59.21718	40.13933	33.95735	50.65482	46.11206	43.48755	51.96708	52.33765	33.31212	37.15733	0	0	1.57296	1.63225	5.44085	4.99093	5.95006	4.47824	7.55092	3.38309	0.0279	0.12905	16.69224	11.59668	0	0	0	16.16211	0	0.39062	0	0	0	6.95452	10.16323	7.46722	0.19182	11.80594	7.40095	5.93262	3.35519	2.46931	1.59738	4.19573	24.07924	5.00837	0.62779	6.99986	10.20508	13.77999	6.60924	41.71666	30.74428	31.64411	28.07617	22.4156	14.54381	15.72963	22.15751	0	0	0	36.81292	16.17257	10.66546	17.71763	39.33803	0	0	0	24.88839	13.16616	0.21973	6.59877	9.96443	7.2998	10.20508	7.27539	12.87667	1.42648	6.20466	0.30343
7	1640149680	0	38.25596	44.78237	39.09302	49.25973	40.27448	48.44448	42.50663	37.80256	33.53446	44.91752	54.77033	43.28265	50.1273	58.75506	62.87929	58.13599	52.19378	57.03735	61.62371	59.30437	40.13933	33.88323	50.91204	45.98563	43.1475	52.15018	52.03683	33.22492	37.0963	0	0	1.46833	1.58691	4.70843	4.27246	5.15137	3.82254	6.38253	2.90876	0.03139	0.12207	14.15667	9.70633	0	0	0	13.96833	0	0.39062	0	0	0	6.28488	9.09598	6.63365	0.17439	10.47712	6.63714	5.36412	3.0971	2.43792	1.63225	3.79116	21.62737	4.75377	0.62779	6.54297	9.28083	12.60463	6.21512	36.99079	27.49372	28.34473	25.03139	20.69266	15.67383	13.80092	19.3464	0	0	0	32.42536	14.32059	9.48312	15.3704	34.08901	0	0	0	22.21331	11.69782	0.20926	6.43485	9.8877	7.17076	10.0865	7.20564	12.53488	1.44392	6.14886	0.27902
8	1640149740	0	38.17749	45.15294	38.58294	49.29461	40.11754	48.29189	42.40199	37.89411	33.12029	44.30716	54.38232	43.09954	49.66954	58.80737	62.36921	58.51528	52.18506	57.22046	61.74578	59.60083	39.86468	33.42111	50.18398	46.24721	43.26957	52.00195	52.10223	33.2162	37.24016	0	0	1.63574	1.67411	5.54548	5.12695	6.2221	4.66309	7.8683	3.39704	0.02441	0.12556	16.56669	11.09445	0	0	0	15.61105	0	0.39062	0	0	0	6.49414	9.50753	6.94406	0.18136	10.81543	7.23703	5.73033	3.22614	2.55301	1.72294	4.47126	26.74735	5.15137	0.63128	7.19866	11.16769	15.21345	7.38351	44.84515	33.20312	34.07157	30.34668	24.52218	18.49888	16.54925	23.59096	0	0	0	37.16867	16.36091	9.98186	17.20145	38.75209	0	0	0	23.47586	12.46164	0.21275	6.54297	10.10742	7.31724	10.36203	7.47419	14.05552	1.43694	6.78362	0.34528
9	1640149800	0	38.08158	44.70389	38.28648	49.29461	39.86904	47.98671	42.19273	37.85924	33.42547	44.39436	54.55235	42.899	49.27281	58.78993	61.85913	58.85969	52.20686	57.32945	61.7327	59.84933	40.22217	34.06198	50.55455	46.01179	43.62706	52.07607	51.59651	33.16389	37.0091	0	0	1.44043	1.64272	5.36761	4.9142	5.71987	4.33873	7.25446	3.23661	0.02441	0.143	16.01911	10.95843	0	0	0	15.44713	0	0.39062	0	0	0	6.50112	9.36802	6.90918	0.18485	10.62012	6.5639	5.30483	3.00991	2.34375	1.54855	3.88881	23.80371	4.73982	0.63477	6.5046	9.59473	13.64746	6.57785	40.3704	29.46777	30.25251	27.11007	21.86802	16.89802	15.17508	21.875	0	0	0	35.89565	15.67732	9.94001	16.78292	37.60114	0	0	0	23.3817	12.43722	0.21624	6.393	9.42383	7.09752	9.40988	6.84291	11.55831	1.43345	5.92215	0.27902
