REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1638680460	0	39.64233	48.31369	42.79	53.6499	46.72677	58.912	52.36816	53.90712	43.76221	57.9398	72.02148	60.17194	55.9736	60.68202	59.72726	53.39268	48.06519	45.35348	48.64502	49.21613	37.44943	45.41016	49.50387	46.99707	40.13497	51.78397	46.50007	35.03418	35.14753	0	0	1.34626	2.92271	6.86035	6.11398	5.68848	5.00837	10.63756	3.28544	0.06278	0.09417	16.28418	10.9096	0	0	0	20.74847	0	0.36621	0	0	0	5.89774	12.95689	8.4368	0.24414	6.16629	5.76172	6.56738	2.74484	6.04422	5.62221	6.06864	50.39062	3.90276	1.07422	9.16574	7.90318	8.19615	5.22112	12.97084	12.86621	28.39704	17.82575	20.75544	16.2214	16.64342	20.29506	0	0	0	12.57673	7.11147	13.70675	11.56878	20.34389	0	0	0	21.43903	15.06696	1.07771	4.02832	8.52748	7.97991	6.28836	5.39202	12.18959	0.9661	5.03976	0.53362
1	1638680520	0	39.67721	48.46191	42.72025	54.24717	46.48263	58.98176	52.20686	53.49731	44.01507	58.09675	72.0302	60.01064	55.82973	60.46404	59.53979	53.30113	47.92568	45.17909	48.49679	49.10278	37.16169	44.96983	49.59978	47.11478	40.67121	51.77089	46.70061	35.28704	35.2478	0	0	1.46136	3.10756	6.90918	6.33719	5.82799	5.05022	10.30971	3.31334	0.07324	0.09766	16.2493	10.77358	0	0	0	20.58105	0	0.36621	0	0	0	5.9082	13.2115	8.51702	0.24414	6.8185	6.54994	6.95452	3.0971	6.5918	6.41392	6.57087	57.54046	4.28641	1.0498	9.52497	8.381	8.31124	5.54548	13.53934	13.58468	29.62123	18.80232	21.77386	16.63993	16.74456	20.64383	0	0	0	12.51395	7.15332	14.26828	11.63504	19.84863	0	0	0	22.50628	15.55525	1.07771	4.00739	8.85184	7.9834	7.16378	6.26046	13.94741	0.98703	5.68848	0.56501
2	1638680580	0	39.10174	48.57962	42.75949	53.83737	46.25157	59.09947	52.01939	53.35345	44.28973	57.95724	72.06508	59.86241	55.69894	60.25042	59.36105	53.1529	47.78181	45.00471	48.366	49.21177	37.0745	44.93931	49.58235	46.92296	40.71481	51.69678	46.41724	35.44399	35.21293	0	0	1.42299	2.9541	6.72433	6.04771	5.60477	4.82701	9.9714	3.08315	0.07324	0.09766	15.15765	9.95396	0	0	0	19.25572	0	0.36621	0	0	0	5.56989	12.36049	8.02176	0.23368	6.31278	6.00935	6.58482	2.8704	6.25349	5.93262	6.22559	52.96805	4.0632	1.00446	8.97391	7.93108	8.64607	5.4269	13.09291	12.83831	28.18778	17.88853	20.33691	15.45061	16.14118	19.77539	0	0	0	11.2793	6.67201	13.24289	10.89216	18.31055	0	0	0	21.29604	14.631	1.07771	4.04227	8.65304	7.95201	6.86035	5.8524	13.18011	0.9661	5.47921	0.53362
3	1638680640	0	39.52462	48.3442	42.74205	53.78069	46.48699	58.82917	52.53383	53.34473	43.79272	58.16214	72.42693	59.83189	55.58995	60.15451	59.30001	53.14854	47.71205	44.92623	48.33984	48.86736	37.12245	45.03959	49.76981	46.92732	40.93715	51.47008	46.3126	35.35243	35.16933	0	0	1.34626	2.77623	5.61872	5.16881	4.61426	4.10156	8.25195	2.76576	0.07324	0.09766	13.0127	8.67746	0	0	0	17.74205	0	0.36621	0	0	0	5.67801	12.3012	8.20661	0.24414	6.89523	6.44531	6.88128	3.21568	6.31278	5.81752	6.09654	49.34431	4.0632	0.99051	8.45773	7.08705	7.26493	5.09556	11.36649	11.32115	23.90485	15.16811	17.41071	13.40332	13.69629	17.0445	0	0	0	9.98884	6.29883	12.96735	9.93652	16.69922	0	0	0	22.27609	15.35993	1.08119	4.04227	8.82743	7.94155	7.101	6.08608	12.93945	0.95564	5.5978	0.51967
4	1638680700	0	39.40691	48.69734	42.74205	53.44936	46.19489	58.72018	52.30277	53.3796	44.04994	58.09675	72.24383	59.98448	55.56379	60.20246	59.32181	53.1311	47.5987	44.84776	48.29189	48.78453	37.12681	44.78673	48.9066	47.25429	40.81944	51.69678	46.22541	35.05162	35.13009	0	0	1.56599	3.17732	6.77665	6.17327	5.33622	4.43987	8.61468	2.49721	0.07324	0.10114	13.16267	8.37402	0	0	0	15.93192	0	0.36621	0	0	0	5.28041	10.90262	7.07659	0.23717	6.37556	6.27441	6.41392	3.11105	6.48717	6.1942	6.26046	57.32422	4.33873	0.98703	7.85435	8.04967	9.09598	5.63267	13.07896	13.05106	28.11105	17.71415	20.00209	15.15765	14.99023	18.88951	0	0	0	9.39593	6.08956	10.35505	8.18569	15.08789	0	0	0	19.07436	13.3231	1.08468	3.98647	8.8623	7.93806	7.15681	6.26744	14.25781	0.95564	5.94308	0.54757
5	1638680760	0	39.10174	48.81505	42.80744	53.85481	46.45211	58.77686	51.98451	52.6995	44.4118	58.02264	72.20459	60.11527	55.63354	60.28094	59.47876	53.07443	47.4374	44.8216	48.22213	48.74965	36.86959	45.16166	49.29897	47.45483	40.73225	51.67498	46.24285	35.49194	35.01674	0	0	1.49972	3.32729	7.244	6.6197	5.81403	5.07464	10.43527	3.19127	0.07324	0.09766	15.91099	10.24693	0	0	0	20.4555	0	0.36621	0	0	0	6.25	13.2115	8.40541	0.23717	6.79757	6.36161	6.92662	3.07966	5.90123	5.55594	6.23954	51.11607	4.1469	0.96959	9.59821	8.13337	8.98438	5.63965	13.14872	12.97084	29.04227	18.40472	21.49833	16.61551	16.4202	20.74149	0	0	0	12.54883	7.84738	13.78348	11.72224	19.86258	0	0	0	23.17243	16.05399	1.08817	3.94113	8.82045	7.93457	6.94406	5.95703	13.77999	0.96261	5.67453	0.56152
6	1638680820	0	39.40691	48.3442	42.5851	53.52783	46.39108	58.99484	52.32021	52.95236	44.06302	58.46732	72.2787	60.1981	55.58559	60.35941	59.57031	53.13546	47.45919	44.78673	48.23957	48.47935	36.78676	44.55566	49.22921	47.24557	40.71917	51.6619	46.72677	35.21729	35.09521	0	0	1.39509	3.06222	6.63016	5.97098	5.27693	4.60031	9.32617	2.91922	0.07673	0.09766	14.3764	9.29478	0	0	0	18.37333	0	0.36621	0	0	0	6.07561	12.45466	7.93806	0.23717	6.76618	6.28139	6.95801	2.8983	5.64314	5.27693	5.83845	45.73451	3.82254	0.9661	8.85533	7.29632	7.70787	4.90374	12.02916	12.07799	26.15095	16.35045	19.10924	14.77748	14.56822	18.55469	0	0	0	10.71429	6.77316	12.72321	10.40737	17.32352	0	0	0	21.03446	14.54729	1.07422	3.94461	8.60421	8.00781	6.43834	5.60128	12.357	0.9661	5.22112	0.53362
7	1638680880	0	39.3546	48.39216	42.93387	53.80685	46.38672	58.94688	52.3638	53.12238	43.96275	58.29293	72.27434	60.23734	55.49404	60.32889	59.57467	53.28369	47.3938	44.79545	48.21777	48.54475	37.01782	44.7998	49.28153	47.02323	40.71481	51.1649	46.84448	35.07778	35.02982	0	0	1.49972	3.13546	6.95103	6.31627	5.67801	4.8305	9.71331	2.94713	0.06975	0.10114	15.03557	9.63309	0	0	0	18.69071	0	0.36621	0	0	0	6.03725	12.51046	7.80552	0.23717	6.96847	6.58482	7.26842	2.97503	5.66057	5.39551	5.91867	47.79227	4.22015	1.04283	9.10296	8.00084	8.50307	5.29436	12.8139	13.05106	28.42494	18.0978	20.80776	15.99819	15.74707	19.98814	0	0	0	11.11537	6.91616	12.94643	10.59919	17.84668	0	0	0	21.43903	14.73214	1.07422	3.96205	8.83092	7.90667	7.16378	6.09305	13.8916	0.96959	5.83845	0.55804
8	1638680940	0	39.28484	48.21341	42.46303	53.64554	46.57418	59.16486	52.47716	52.948	43.98891	58.38449	72.06944	60.38121	55.36325	60.36813	59.63571	53.45808	47.42432	44.80852	48.15674	47.89952	36.56878	44.81724	49.1769	47.20197	40.74969	51.57035	46.22977	35.25652	35.14753	0	0	1.44392	3.00293	6.62319	5.95006	5.45131	4.76074	9.52148	3.03781	0.06975	0.09766	15.0844	9.78306	0	0	0	19.03599	0	0.36621	0	0	0	6.24302	13.01967	8.43331	0.24763	7.27888	6.69294	7.56487	3.06571	5.60826	5.14439	5.5978	43.65932	4.01786	1.04283	9.19015	7.34166	7.69043	5.22461	12.42676	12.35003	26.43345	17.14565	19.50335	15.14369	15.07394	19.12319	0	0	0	11.34905	7.30678	13.50446	11.03167	18.42913	0	0	0	22.49233	15.57617	1.07422	4.04576	8.88672	7.91713	7.09752	6.05469	13.65095	0.95215	5.72335	0.55106
9	1638681000	0	39.18893	48.64502	42.84668	53.71966	46.75729	58.90765	52.12402	52.64282	43.63142	58.16214	71.64655	60.45968	55.2499	60.36377	59.64443	53.48424	47.4156	44.81724	48.12186	48.68426	36.52954	44.66466	49.15946	47.84284	41.0723	51.35236	46.45211	35.35243	35.15625	0	0	1.38463	2.77972	6.21861	5.49316	5.10603	4.42941	9.0332	2.8111	0.06627	0.10463	13.92299	9.1762	0	0	0	17.76297	0	0.36621	0	0	0	6.0512	12.25586	7.74623	0.23368	7.08705	6.38951	7.16378	2.91574	5.33273	4.77818	5.16881	38.77651	3.62723	1.04283	8.39844	6.76967	7.24051	4.77469	11.58622	11.41183	24.43848	15.89704	17.72112	13.58468	13.37193	17.08287	0	0	0	10.34807	6.72433	12.54883	10.06557	16.39927	0	0	0	20.49735	14.27874	1.07422	3.96554	8.69141	7.94852	6.6476	5.66057	12.51395	0.96261	5.36412	0.52665
