REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1642050060.0	0.0	36.54698	45.71969	42.51971	52.53819	45.81996	53.26189	51.42648	52.05427	45.49735	57.54743	71.24983	62.97084	58.34961	59.81009	60.38121	48.55347	44.4118	45.29245	46.26029	45.37964	33.90503	42.14478	48.62322	49.81777	40.44451	52.23737	46.29953	33.2816	32.69741	0.0	0.0	2.11007	2.39955	8.76465	7.21959	9.11342	7.30329	15.48898	8.67397	0.09766	0.04534	20.31948	18.34194	0.0	0.0	0.0	23.31892	0.0	0.38714	0.0	0.0	0.0	10.64104	16.40276	15.44364	0.29994	24.91978	15.30413	12.98828	8.36705	12.38491	11.32115	10.21205	24.01297	9.4029	0.79869	13.97531	11.98382	12.06055	11.95592	17.9548	21.57854	38.29869	25.41504	24.06529	13.71024	13.97182	18.24428	0.0	0.0	0.0	19.21387	6.57785	17.69671	15.53432	25.92425	0.0	0.0	0.0	25.29994	19.85212	0.1709	5.96401	14.32059	71.82966	10.93052	8.02525	5.76521	1.15444	5.51758	0.31738
1	1642050120.0	0.0	36.59058	45.58454	42.75513	51.97144	45.84612	53.31857	51.47879	52.30277	45.27065	57.56487	70.97953	62.87493	58.21882	59.83189	60.25914	48.37036	44.39872	45.1573	46.13386	45.08754	34.06198	42.07502	48.44448	49.93984	39.88647	52.26789	46.05539	33.20748	32.74972	0.0	0.0	2.00893	2.38211	8.7228	7.244	9.01228	7.24749	15.55525	8.71233	0.09766	0.04534	19.7998	17.98619	0.0	0.0	0.0	22.55162	0.0	0.3697	0.0	0.0	0.0	10.15625	15.24135	14.29618	0.29646	23.16895	14.05901	11.7327	7.34166	11.68039	10.79799	9.84235	22.726	8.84487	0.71498	13.24637	11.74316	12.40234	11.78153	18.31403	22.00056	39.11133	26.03237	24.24316	14.17411	14.35198	18.72559	0.0	0.0	0.0	19.21387	6.33022	16.74107	15.2553	25.72893	0.0	0.0	0.0	23.4375	18.3803	0.16741	5.52455	12.41978	62.25935	9.59473	6.99289	5.60826	1.137	5.21763	0.28251
2	1642050180.0	0.0	36.51646	45.59762	42.61998	52.45972	45.53659	53.28805	51.57471	51.91912	45.3404	57.68694	71.28034	62.80954	58.10547	59.7229	60.09783	48.1175	44.32024	45.01779	45.91152	45.32296	33.92247	42.15785	48.26573	49.46027	39.89955	52.12402	45.98999	33.15517	32.34427	0.0	0.0	1.83454	2.131	7.73926	6.20117	7.88574	6.34766	13.6649	7.70438	0.09766	0.04883	17.94434	16.22838	0.0	0.0	0.0	21.20884	0.0	0.38714	0.0	0.0	0.0	9.89816	14.99023	14.09738	0.29994	23.85254	15.78544	11.72224	7.36607	11.17815	10.18764	8.93555	20.93331	8.09152	0.7115	12.6988	10.59919	10.86775	10.39342	15.52386	18.59305	33.62165	22.4714	21.03097	12.39188	12.55232	16.38184	0.0	0.0	0.0	17.28167	6.0233	16.00865	13.98926	23.72001	0.0	0.0	0.0	22.87249	17.86063	0.1709	5.6257	13.37542	66.51437	10.00628	7.34166	5.15834	1.14397	5.01186	0.26855
3	1642050240.0	0.0	36.62109	45.9246	42.6505	52.01067	45.95511	53.34473	51.79705	51.79269	45.1355	57.80901	71.45473	62.68311	58.02264	59.69674	59.85805	47.869	44.28973	44.84776	45.71097	45.68917	33.71756	41.89192	48.39216	49.28153	39.86468	51.55727	46.22541	33.44727	32.86743	0.0	0.0	2.07171	2.17285	8.0392	6.51855	8.23451	6.46275	14.08691	7.80204	0.10114	0.04883	17.86761	16.35045	0.0	0.0	0.0	19.99512	0.0	0.38016	0.0	0.0	0.0	9.79701	14.52288	13.48354	0.30692	22.04241	14.51242	12.02567	7.81948	12.18959	11.25837	9.90513	22.89342	8.95647	0.7115	13.48703	11.58273	11.29325	11.28627	16.34347	19.70215	36.15374	23.97461	21.73898	12.64997	12.6988	16.63644	0.0	0.0	0.0	16.2214	5.63965	14.99023	13.29171	22.89342	0.0	0.0	0.0	21.22628	16.45159	0.1709	5.68848	13.39286	66.37486	10.15276	7.47768	5.48619	1.14397	5.35366	0.28251
4	1642050300.0	0.0	36.68649	46.04231	42.35404	52.50767	45.80688	53.03955	51.3916	52.02375	45.75457	57.90492	71.23675	62.62207	57.97468	59.50928	59.40465	47.61614	44.18073	44.66466	45.48863	45.12242	33.75244	42.21889	48.25265	49.62158	39.83416	52.20686	46.16002	33.2598	32.63637	0.0	0.0	2.22168	2.43792	9.09947	7.47419	9.53544	7.54046	16.08538	8.94601	0.09766	0.04534	19.74051	18.09082	0.0	0.0	0.0	22.65974	0.0	0.39411	0.0	0.0	0.0	10.29925	15.39132	14.50195	0.30343	23.0678	15.86914	12.31166	7.98689	12.31515	11.40485	10.55385	24.24316	9.46219	0.69754	14.11482	12.16518	12.48605	12.30818	18.73256	22.97363	40.83775	27.06124	24.73842	14.29618	14.59263	18.95578	0.0	0.0	0.0	18.53027	6.16629	16.65039	14.50893	25.05929	0.0	0.0	0.0	23.10617	18.11872	0.16741	5.91169	13.85324	68.74302	10.50851	7.79157	6.16629	1.13351	5.78613	0.3139
5	1642050360.0	0.0	36.75188	45.89408	42.72897	52.45972	45.77637	52.74745	51.33493	52.08479	46.00743	58.07931	71.79478	62.58283	57.9834	59.36977	58.98176	47.35456	44.0979	44.54259	45.25757	44.83032	33.47778	41.95731	48.08698	49.70878	40.16985	51.8668	45.65866	33.38187	32.76716	0.0	0.0	2.22517	2.41699	8.89369	7.39049	9.39593	7.36258	15.84821	8.78557	0.09417	0.04534	19.601	17.89202	0.0	0.0	0.0	22.61789	0.0	0.38365	0.0	0.0	0.0	10.30971	15.43666	14.50195	0.31041	23.50377	15.33552	12.54534	8.14732	12.48954	11.46066	10.77358	24.30594	9.59821	0.68011	14.29618	12.15472	12.58022	12.38491	18.81975	22.97015	40.52386	26.39509	24.77679	14.26828	14.33454	18.76395	0.0	0.0	0.0	18.43262	6.19071	16.58412	14.85421	25.31738	0.0	0.0	0.0	23.24916	18.16755	0.1709	5.9361	13.83231	69.17201	10.59919	7.8683	6.25	1.13351	5.87681	0.33133
6	1642050420.0	0.0	36.32028	45.69353	42.51099	52.61666	45.881	53.54527	51.60958	52.42484	45.60198	58.26678	71.89941	62.58719	58.00084	59.2041	58.63299	47.08426	44.07174	44.37256	45.05702	45.23577	33.38623	41.88756	47.9344	49.51695	39.91699	52.21122	46.07718	32.97206	33.09413	0.0	0.0	2.05427	2.23214	8.0671	6.63714	8.28334	6.71387	14.09389	7.92411	0.09766	0.04883	18.07338	16.45857	0.0	0.0	0.0	21.01353	0.0	0.37667	0.0	0.0	0.0	10.12486	15.22391	14.59263	0.32087	23.40611	15.40876	12.38839	7.92759	11.97335	11.06655	9.85282	23.09222	8.68792	0.68011	13.17662	11.58622	11.63504	11.63853	16.72015	19.94629	36.12235	23.73047	22.53069	12.49651	13.0685	16.97824	0.0	0.0	0.0	17.00614	5.84891	15.92146	14.06599	23.33636	0.0	0.0	0.0	23.03292	17.96177	0.1709	5.78962	13.61956	67.14216	10.20508	7.56836	5.56641	1.12305	5.52455	0.28599
7	1642050480.0	0.0	36.45979	45.97255	42.41943	52.6123	45.78945	53.05699	51.54419	52.10658	45.67174	58.14471	71.8253	62.49128	57.9834	59.08203	58.47168	46.84884	44.10226	44.21997	44.95239	45.08754	33.59985	42.27557	47.78181	49.41668	39.81672	52.08915	45.52787	33.78732	33.20748	0.0	0.0	2.16588	2.25307	8.10896	6.49414	8.41239	6.72433	13.65095	7.89621	0.09766	0.04883	16.56669	15.61802	0.0	0.0	0.0	19.02902	0.0	0.39062	0.0	0.0	0.0	9.375	14.30664	13.2115	0.3139	22.42955	14.92048	12.39537	9.52846	12.40932	11.51995	10.32366	23.85603	9.11691	0.67313	13.86719	11.95243	12.03962	12.13379	17.94782	21.6483	38.49051	24.97907	23.28055	13.55329	12.6988	17.53627	0.0	0.0	0.0	17.15611	5.75823	14.58915	13.44169	23.29102	0.0	0.0	0.0	21.80525	16.97475	0.1709	5.91518	13.68234	67.27469	10.61663	7.89272	5.97447	1.13002	5.75823	0.31738
8	1642050540.0	0.0	36.85216	45.6543	42.66793	52.73873	45.87228	53.24009	51.55727	52.30713	45.29681	58.41936	71.93429	62.39101	57.90928	59.05151	58.36705	46.64394	43.99763	44.10662	44.77801	44.90444	32.90667	42.44995	47.67282	48.95455	39.84724	52.27225	45.40144	33.24672	32.88487	0.0	0.0	2.04381	2.40304	8.61468	7.10449	8.54841	6.99986	14.96582	8.49261	0.09766	0.04534	19.72656	17.78041	0.0	0.0	0.0	22.65974	0.0	0.38714	0.0	0.0	0.0	10.37946	15.43318	14.19503	0.31738	23.67815	14.38337	12.0466	7.89621	10.95843	9.9993	8.98438	20.31599	7.9834	0.66616	12.22796	10.82589	11.91057	10.84333	17.80831	21.39369	37.83133	24.95466	24.00949	13.57073	14.21945	18.39076	0.0	0.0	0.0	18.85463	6.07213	16.21791	14.84026	25.66964	0.0	0.0	0.0	22.51674	17.67927	0.1709	5.52107	11.61412	62.54185	9.3471	6.70689	5.22461	1.12305	4.82352	0.28948
9	1642050600.0	0.0	36.69957	46.16874	42.73769	52.37688	46.25157	53.41448	51.74909	51.92784	45.45375	58.02264	72.63184	62.31253	57.89621	58.98176	58.10983	46.41724	43.94967	44.01071	44.6603	44.83468	33.15517	42.53278	47.81233	48.86736	39.68157	52.20686	45.75893	33.51266	32.93719	0.0	0.0	2.22168	2.42397	8.9774	7.33119	9.36802	7.44978	15.83775	8.83789	0.09417	0.04185	19.84863	18.00711	0.0	0.0	0.0	22.48884	0.0	0.39062	0.0	0.0	0.0	10.47015	15.68778	14.89955	0.31738	23.44448	14.78795	12.68834	8.16825	12.37444	11.44322	10.25042	23.70257	9.18318	0.67313	13.71024	12.06403	12.48605	12.08496	18.8058	22.8411	40.43666	26.5625	24.74191	14.44964	14.62751	19.14411	0.0	0.0	0.0	18.80232	6.1942	16.72712	14.66239	25.77427	0.0	0.0	0.0	23.15848	18.28265	0.1709	5.66057	13.37542	66.15862	10.1981	7.46722	5.98842	1.12305	5.71638	0.28948
