REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1641186060.0	0.0	36.85216	46.8314	43.09518	53.09187	45.32732	59.2041	61.37957	54.50439	46.90116	60.37249	75.35226	65.23786	61.95068	61.27494	62.87057	48.72349	44.5949	45.01779	47.28045	47.29789	33.92247	47.71205	48.94148	45.53223	41.12462	52.00631	46.75293	34.14481	34.36715	0.0	0.0	2.68555	1.72642	3.51562	2.38211	3.4947	2.93666	8.71233	2.42746	0.07324	0.06278	9.14132	14.69029	0.0	0.0	0.0	21.67969	0.0	0.33831	0.0	0.0	0.0	11.47112	17.14216	12.55232	0.24414	15.87612	10.69336	8.41588	5.42341	5.10951	4.38058	6.34766	36.25837	4.90025	1.11258	11.39788	9.27734	12.53488	6.24302	16.48996	22.52372	34.90513	22.16099	23.30497	13.93345	14.11133	19.81724	0.0	0.0	0.0	11.10142	1.55204	15.3111	15.07045	21.06585	0.0	0.0	0.0	23.47238	10.93052	0.21624	5.44085	9.94699	5.53153	7.86482	6.82199	8.88323	1.22419	6.26046	0.3139
1	1641186120.0	0.0	36.88703	46.34748	42.66357	52.86952	45.35784	59.2477	60.72126	53.88532	46.53931	60.12399	75.40022	65.25966	61.89837	61.20954	62.80518	48.53603	44.50771	45.02651	47.24993	47.40252	34.04018	47.60742	48.86736	45.51043	40.80636	52.31149	46.97527	33.7568	34.41947	0.0	0.0	2.23563	1.67759	3.35519	2.22866	3.13895	2.77623	8.0113	2.35421	0.07324	0.0558	8.63211	13.84975	0.0	0.0	0.0	20.70312	0.0	0.3418	0.0	0.0	0.0	10.87123	16.17955	11.97335	0.24414	14.47754	9.17271	7.48814	4.82352	4.0911	3.26451	5.54548	27.00195	4.17829	1.09863	8.76465	7.21959	11.04213	5.29785	13.91602	19.18248	29.00739	19.35338	19.78237	11.90709	12.10589	16.91895	0.0	0.0	0.0	10.4841	1.32533	14.5159	14.41127	20.03697	0.0	0.0	0.0	21.68318	10.21554	0.20229	5.31878	8.3531	5.04325	6.41044	5.66057	6.46973	1.21722	5.23158	0.24763
2	1641186180.0	0.0	37.30992	46.71369	43.05158	52.85209	45.44503	59.39157	60.25914	53.6499	46.50443	59.96704	75.5746	65.16375	61.78502	61.17031	62.69618	48.27445	44.41616	45.02215	47.17582	46.86192	33.90503	47.53767	48.58398	45.41016	40.98511	51.8668	46.77473	34.17097	34.02274	0.0	0.0	2.64718	1.68806	3.49121	2.31934	3.48075	2.89481	8.66699	2.4135	0.07673	0.06627	9.00181	14.56473	0.0	0.0	0.0	21.36579	0.0	0.3418	0.0	0.0	0.0	11.23047	16.68527	12.11286	0.24414	14.18457	9.50405	8.06013	5.2002	4.8305	3.98996	6.22907	34.33315	4.59333	1.09863	10.24344	8.86928	12.357	6.17676	16.1935	22.18192	34.1762	21.83315	22.73298	13.45912	13.73117	19.61844	0.0	0.0	0.0	10.90262	1.35672	14.73214	14.51242	20.54967	0.0	0.0	0.0	21.732	10.27832	0.20926	5.36412	9.05064	5.0851	7.24749	6.41392	8.21359	1.23465	5.85589	0.27902
3	1641186240.0	0.0	37.10502	46.6047	43.32624	53.12674	45.60634	59.17794	60.37685	53.98124	46.60034	59.86677	75.21711	65.10271	61.56703	61.18774	62.54796	47.96927	44.30716	45.00907	47.19761	46.53059	33.7132	47.71205	48.48371	45.13986	41.26413	52.18942	46.3998	34.07942	34.40639	0.0	0.0	2.67857	1.66713	3.35519	2.13797	3.33775	2.71694	7.93457	2.13449	0.07324	0.05232	7.99386	13.41378	0.0	0.0	0.0	18.81278	0.0	0.34877	0.0	0.0	0.0	9.8877	14.64844	10.5957	0.24414	12.33608	8.6635	7.26144	4.66309	4.50265	3.84696	6.14886	34.21456	4.42592	1.11258	9.84235	8.63909	12.06055	6.15932	15.67383	21.46345	33.29381	21.67969	21.80873	12.98131	13.14872	18.85463	0.0	0.0	0.0	9.98186	1.27302	12.99177	12.99526	18.85812	0.0	0.0	0.0	19.56264	9.1483	0.20926	5.1409	8.48912	4.78516	6.97196	6.13142	9.17271	1.2207	5.57687	0.24065
4	1641186300.0	0.0	37.53662	47.14966	43.03414	53.29677	45.19217	59.28258	59.91908	53.80249	46.34748	59.70982	75.48741	64.98936	61.37521	61.15723	62.45204	47.74693	44.22869	44.96111	47.1235	46.45211	34.07506	47.40252	48.39216	45.1573	41.07666	51.84937	46.51751	33.58677	34.26252	0.0	0.0	2.53906	1.58343	3.06222	1.83454	2.97154	2.22168	6.47321	1.70201	0.07324	0.05232	6.52204	10.75963	0.0	0.0	0.0	14.61356	0.0	0.3418	0.0	0.0	0.0	8.53446	12.1582	9.32966	0.25112	10.50851	8.36007	6.89872	4.70145	4.56892	4.01786	5.89425	31.7906	4.58984	1.09515	10.13532	7.97991	11.26186	5.85938	13.95438	19.14062	29.67704	20.44155	19.35686	11.75014	11.1642	15.84473	0.0	0.0	0.0	7.92062	1.40555	10.69336	10.23647	14.5159	0.0	0.0	0.0	17.81878	8.25544	0.20926	5.01535	8.77511	4.78167	6.96847	6.27441	8.30427	1.22419	5.75823	0.2267
5	1641186360.0	0.0	37.46687	47.16274	43.13442	52.93492	45.39708	58.99484	59.9278	53.85481	45.62814	59.68802	75.60948	64.85857	61.17902	61.20518	62.38665	47.53331	44.02815	44.98727	47.03195	46.378	33.69577	47.33712	48.3442	45.39708	40.98947	51.53983	46.28209	33.66525	34.31048	0.0	0.0	2.80413	1.83105	3.61328	2.44141	3.5226	2.96805	8.95299	2.49023	0.07324	0.04883	9.52148	15.34598	0.0	0.0	0.0	22.71903	0.0	0.3418	0.0	0.0	0.0	11.89662	17.76646	12.72321	0.24414	15.77148	10.85379	8.45075	5.51409	4.97698	4.19922	6.24651	34.232	4.52009	1.11607	11.40485	8.76116	12.68834	6.06515	16.91197	23.37472	36.02469	25.88588	23.72349	14.37988	14.0067	20.19392	0.0	0.0	0.0	11.71526	1.43345	15.9389	15.63198	22.25865	0.0	0.0	0.0	24.66867	11.35603	0.2267	5.56989	9.6889	5.54548	7.31027	6.66853	8.71582	1.24163	6.23954	0.35226
6	1641186420.0	0.0	37.42763	46.875	43.16929	52.64282	45.1573	58.84225	59.37413	54.13382	46.56982	59.83189	75.40022	64.77138	60.95232	61.25314	62.36049	47.28917	43.98019	44.93495	47.07554	46.27773	33.58677	47.21941	47.9344	44.98727	40.56658	51.53983	46.18182	33.99222	34.23636	0.0	0.0	2.13449	1.62179	3.05873	1.92522	2.88435	2.44489	7.06613	2.11705	0.07673	0.05929	7.97642	12.74065	0.0	0.0	0.0	18.56515	0.0	0.34877	0.0	0.0	0.0	10.1981	15.03209	11.12932	0.24414	13.30218	8.67048	7.28585	4.90723	4.34222	3.54701	5.16881	24.76981	4.1748	1.09863	9.38198	6.99637	9.63309	4.79911	12.31515	17.08984	26.31487	20.85658	17.73158	10.69685	10.33761	14.42871	0.0	0.0	0.0	9.10645	1.33231	13.0406	12.5558	17.23284	0.0	0.0	0.0	20.39621	9.46917	0.21973	5.22461	8.49609	5.01883	6.46624	5.85938	6.71735	1.2207	5.28739	0.22321
7	1641186480.0	0.0	37.61945	47.01451	42.89464	52.79977	45.06138	59.23462	59.16486	54.02483	46.45211	60.07167	75.35662	64.65367	60.74742	61.27058	62.34741	47.07118	43.8712	44.91316	47.02323	45.91152	33.54754	47.28917	48.15674	44.8652	40.39219	51.60958	45.90716	33.69577	34.26252	0.0	0.0	2.62277	1.69155	3.47377	2.31236	3.46331	2.87388	9.01925	2.70299	0.07673	0.06975	9.37151	14.8856	0.0	0.0	0.0	22.01102	0.0	0.3418	0.0	0.0	0.0	11.84082	17.71066	12.97084	0.24763	15.08092	10.00628	8.50307	5.66057	4.98744	4.16434	6.10352	32.56836	4.89676	1.11258	12.06055	8.6077	12.41629	5.97447	16.11677	22.49581	36.26186	41.70968	22.97712	13.72419	13.48005	19.62891	0.0	0.0	0.0	11.38742	1.51716	15.55873	15.82031	22.58301	0.0	0.0	0.0	24.61635	11.32464	0.21624	5.52455	9.89816	5.53502	7.40792	6.84989	8.18917	1.22768	6.16978	0.39062
8	1641186540.0	0.0	37.74152	47.58126	42.94695	52.92184	45.10498	59.48748	58.82481	53.93764	46.34312	59.98012	75.03401	64.5534	60.49456	61.25314	62.23406	46.80961	43.83196	44.83904	46.97527	46.11206	33.59985	46.73985	47.59434	45.32732	40.44887	51.83193	45.80688	33.56498	34.58949	0.0	0.0	2.62277	1.72991	3.49819	2.32631	3.36914	2.85645	8.80301	2.6716	0.07324	0.07324	8.89369	14.35198	0.0	0.0	0.0	20.77985	0.0	0.3418	0.0	0.0	0.0	10.64453	15.85868	11.48158	0.2546	14.17411	9.89467	8.17871	5.29436	4.39802	3.6377	5.84194	30.87333	4.56543	1.10561	10.72824	7.95898	12.1303	5.71987	15.46805	21.52623	32.56836	21.6204	21.59249	13.13825	12.89411	18.75349	0.0	0.0	0.0	10.59919	1.16141	13.95787	14.27874	21.01353	0.0	0.0	0.0	21.32045	9.95745	0.21973	5.29436	8.2101	4.90723	6.39648	5.79311	7.66602	1.23117	5.22461	0.26855
9	1641186600.0	0.0	37.70229	47.50279	43.25649	52.76489	44.90008	58.82045	58.49784	54.02483	46.41288	60.42916	75.40022	64.44877	60.2417	61.30545	62.14251	46.58726	43.80144	44.79109	46.83576	45.70225	33.36443	47.08862	47.96927	45.1573	40.81944	51.69678	46.16438	33.51702	34.67669	0.0	0.0	2.27051	1.64272	3.20871	1.988	3.02734	2.54255	7.60324	2.274	0.07673	0.05929	7.5579	12.37444	0.0	0.0	0.0	17.58859	0.0	0.3418	0.0	0.0	0.0	8.96345	13.1243	9.55985	0.24763	11.7885	7.68694	7.01381	4.40848	3.73884	3.1529	5.34319	26.92522	3.99693	1.11956	9.05413	6.87779	10.97935	5.18624	13.65792	18.69071	28.35519	18.02455	18.87556	11.77804	11.1084	15.78544	0.0	0.0	0.0	9.10993	0.95912	11.53041	11.93499	17.79785	0.0	0.0	0.0	16.90151	8.04618	0.21973	4.99442	6.74526	4.22015	5.24902	4.99093	7.70089	1.23117	4.22363	0.18485
