REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640494860.0	0.0	37.91155	47.53767	44.17201	55.14526	47.17146	64.94141	64.69727	50.8946	45.08318	58.19702	69.33594	60.28094	55.55071	56.62755	58.34525	47.98671	44.18509	43.35676	46.69189	51.94092	36.8478	44.08918	48.47935	45.10498	41.10718	51.47008	45.1355	33.53446	33.12029	0.0	0.0	4.15737	4.00739	5.43039	3.90276	5.92215	4.68052	18.59654	11.80943	0.04534	0.05232	9.36105	6.45578	0.0	0.0	0.0	17.23633	0.0	0.3139	0.0	0.0	0.0	9.05413	13.86021	13.89509	0.24414	16.93638	11.3351	10.38644	5.11649	3.99693	3.59933	4.25502	24.3757	4.00739	0.46038	7.80901	7.91713	11.38742	5.19671	17.57464	21.36579	29.119	24.72098	21.875	14.79492	11.65597	16.30859	0.0	0.0	0.0	25.62081	9.69238	12.73019	15.99819	32.87877	0.0	0.0	0.0	21.95173	11.3072	0.31738	5.48619	9.91211	6.58831	9.36454	7.10449	13.13825	1.02888	8.4089	0.3139
1	1640494920.0	0.0	37.51046	47.52023	43.93223	54.66134	47.36764	64.51852	64.73214	50.74201	45.00907	58.48912	69.94193	60.41609	55.65534	56.71038	58.40628	48.05647	44.15022	43.43959	46.65702	51.79705	36.86959	43.94531	48.87172	45.13986	40.85868	51.48315	45.49735	33.07234	33.46034	0.0	0.0	4.24107	4.14342	5.58036	4.02134	5.99888	4.71889	19.36733	12.34305	0.03836	0.04883	9.53544	6.47321	0.0	0.0	0.0	16.76897	0.0	0.31738	0.0	0.0	0.0	8.68792	13.26381	13.17662	0.24414	16.50739	10.92006	10.07952	4.95605	4.00042	3.65862	4.79562	27.4728	4.11551	0.43945	8.07408	8.524	12.60812	5.77218	19.92885	23.26311	32.68694	36.08747	23.92578	16.05748	12.68485	18.11523	0.0	0.0	0.0	26.54157	9.94001	12.67787	16.63993	34.7447	0.0	0.0	0.0	21.91685	11.2514	0.31738	5.58036	9.96094	6.68248	9.73424	7.46024	14.45661	1.03237	9.10645	0.32785
2	1640494980.0	0.0	37.61509	47.99979	44.0543	54.97524	47.11042	64.68419	65.38173	50.84229	45.13986	57.87005	69.61932	60.5338	55.68586	56.81501	58.51092	48.17418	44.1633	43.46575	46.69189	51.74909	36.79984	43.98019	48.64502	45.74149	40.98947	51.42212	45.05702	33.44727	33.31212	0.0	0.0	4.12946	3.94461	6.13839	4.39802	6.4488	5.07464	21.07282	13.47307	0.04534	0.05232	12.05008	7.95201	0.0	0.0	0.0	18.96624	0.0	0.3139	0.0	0.0	0.0	9.41685	14.16713	13.97182	0.24414	15.44713	10.10742	10.07603	4.93513	3.79116	3.4947	4.62123	27.29143	3.86091	0.46038	7.8683	8.29381	12.66392	5.62221	19.70912	22.88993	32.14983	32.93806	23.863	16.00516	13.03013	18.30706	0.0	0.0	0.0	28.47028	10.71429	13.98926	17.21889	35.77009	0.0	0.0	0.0	21.49833	11.23047	0.31738	5.46177	8.32171	6.107	7.84389	6.3058	13.08943	1.03237	8.61816	0.33133
3	1640495040.0	0.0	37.90719	47.5987	43.88428	54.84445	47.71205	65.22478	65.68691	50.58943	45.27501	57.92672	69.61932	60.53816	55.69022	56.91964	58.61119	48.33112	44.18073	43.54858	46.73549	51.64446	36.38567	44.27229	48.46627	45.64122	41.16821	51.0995	45.66738	33.54754	33.39495	0.0	0.0	5.04674	4.60031	6.18025	4.50963	6.73131	5.30831	21.88895	13.95438	0.04185	0.04883	11.91755	7.82645	0.0	0.0	0.0	19.16504	0.0	0.3139	0.0	0.0	0.0	10.04464	15.46805	15.72963	0.24414	20.00209	12.98479	12.12681	5.91169	4.75725	4.20968	5.25251	29.92467	4.44685	0.47782	9.3471	9.21805	12.90806	6.15234	20.84263	24.38616	34.66448	38.2115	25.23717	17.23982	13.25684	19.04297	0.0	0.0	0.0	28.23661	10.83636	14.23689	17.07938	35.75963	0.0	0.0	0.0	23.15151	11.81641	0.31738	5.56989	10.79799	6.88128	9.81097	8.00432	15.78892	1.04632	10.55385	0.35924
4	1640495100.0	0.0	38.31264	47.69897	43.66193	54.85753	47.6423	65.29454	65.52996	50.6897	45.0919	58.10983	69.64983	60.54688	55.70766	56.95016	58.6635	48.49243	44.18073	43.57038	46.70497	51.90168	36.66469	44.69517	48.59706	45.34476	41.33824	51.3916	45.33168	33.48214	33.22928	0.0	0.0	5.07115	4.66657	5.76521	4.23758	6.393	5.02232	20.86356	13.34403	0.04534	0.04883	10.52944	6.74874	0.0	0.0	0.0	16.64342	0.0	0.31738	0.0	0.0	0.0	9.08901	13.77999	14.16016	0.24065	18.7779	12.28027	11.23047	5.49665	4.40848	4.20968	5.12695	29.04925	4.36663	0.49526	9.08552	8.99833	12.33956	5.97796	19.94978	23.4096	32.70089	34.82492	24.24665	16.21094	12.32213	17.68973	0.0	0.0	0.0	25.20926	9.78306	12.60812	15.13323	31.83943	0.0	0.0	0.0	20.68917	10.61663	0.31738	5.44434	10.1144	6.58133	9.5459	7.71484	15.51688	1.02539	10.49107	0.34528
5	1640495160.0	0.0	37.80256	47.45919	43.91915	55.23682	47.83412	65.37737	65.51688	50.65482	44.96983	58.31473	69.67163	60.48148	55.64662	57.06787	58.77686	48.57962	44.15022	43.62706	46.69625	52.02375	36.88703	44.03251	48.73221	45.76765	41.60854	51.74909	45.19217	33.32955	33.13773	0.0	0.0	4.92467	4.56892	5.9082	4.30734	6.29883	4.95605	20.02302	13.04408	0.04883	0.04883	10.20857	6.58133	0.0	0.0	0.0	15.97377	0.0	0.31041	0.0	0.0	0.0	8.52748	13.01618	13.43471	0.24414	16.86314	11.06655	10.21554	4.9421	3.91323	3.78767	4.77818	27.44838	4.26897	0.49874	8.41936	8.52051	12.1303	5.80008	19.02204	22.50279	30.90123	28.60979	23.15499	15.46108	11.86523	16.87012	0.0	0.0	0.0	24.38965	9.3471	11.85477	14.35547	31.01981	0.0	0.0	0.0	18.70815	9.65053	0.31738	5.20717	8.86579	5.92215	8.25544	6.78711	14.70773	1.02539	9.81097	0.31738
6	1640495220.0	0.0	37.87231	47.71205	43.99763	55.11475	47.72949	65.13759	65.38173	50.58943	44.57746	58.17958	69.43621	60.40301	55.57251	57.09403	58.88149	48.68862	44.21561	43.66193	46.73549	51.74909	37.12681	44.52079	48.59706	45.85484	41.12462	51.70986	45.31424	33.05926	33.29468	0.0	0.0	5.36063	4.90723	6.58133	4.90374	6.94754	5.50711	22.37723	14.56822	0.04534	0.0558	12.27679	7.70438	0.0	0.0	0.0	18.78139	0.0	0.31041	0.0	0.0	0.0	9.7726	14.98675	15.13323	0.24414	18.99414	12.41629	11.82687	5.61872	4.45033	3.98996	5.29088	30.93262	4.35268	0.49874	9.08901	9.36802	13.31264	6.09654	21.28209	24.58147	34.81097	29.17829	25.96959	17.5293	13.69629	19.52079	0.0	0.0	0.0	29.18876	11.05957	14.18806	17.63044	36.66295	0.0	0.0	0.0	22.72949	11.67341	0.31738	5.51409	10.00628	6.53599	8.87277	7.43583	15.95633	1.02539	10.55036	0.35924
7	1640495280.0	0.0	38.06414	47.71205	43.94967	55.48968	47.65974	65.32942	65.22478	50.41068	44.62106	57.73054	69.68907	60.21118	55.433	57.18122	58.94252	48.77581	44.18945	43.63142	46.68753	51.62702	36.97859	44.44231	48.73221	45.74585	41.1159	51.57471	45.19217	33.5301	33.8004	0.0	0.0	5.34668	4.91769	6.19071	4.46777	6.46973	5.07464	20.39621	13.07199	0.04185	0.04883	11.42229	7.28585	0.0	0.0	0.0	18.19196	0.0	0.31738	0.0	0.0	0.0	9.65053	14.51939	14.77051	0.24414	18.21987	11.61412	10.94796	5.28739	3.88184	3.66908	4.64565	26.45787	4.18178	0.48828	8.08105	8.40541	12.12681	5.69196	18.91741	22.36677	31.07213	26.22419	23.42355	15.7959	12.46861	17.64439	0.0	0.0	0.0	27.05776	10.32017	13.68234	16.62598	34.66099	0.0	0.0	0.0	21.56808	11.12584	0.31738	5.34668	8.64955	6.05818	7.8125	6.5046	15.0565	1.02539	9.50405	0.32436
8	1640495340.0	0.0	37.90283	47.33712	43.72297	55.21066	47.3502	65.22914	65.25966	50.43684	44.64722	57.89185	69.37517	60.16323	55.33273	57.1725	58.94252	48.90224	44.25049	43.61834	46.70497	51.37416	37.35788	44.54694	48.1393	46.03359	40.92407	51.62702	45.59762	33.63473	33.32955	0.0	0.0	6.83594	6.08608	7.50209	5.47573	7.73577	6.12095	24.44545	15.69127	0.03836	0.05232	13.43471	8.50656	0.0	0.0	0.0	21.55762	0.0	0.31738	0.0	0.0	0.0	10.92006	16.49344	17.0445	0.24414	21.31696	13.19057	12.77902	6.15583	4.84445	4.18178	5.43387	32.28934	4.44336	0.49177	9.5738	9.73075	14.17411	6.20815	22.50279	25.96959	37.09542	31.29883	26.89383	18.51632	14.66588	20.95773	0.0	0.0	0.0	31.04422	11.68736	15.97726	19.25572	40.07394	0.0	0.0	0.0	24.9721	12.78251	0.31738	5.49316	10.43527	6.55343	9.16225	7.73577	16.75851	1.00795	11.12584	0.37319
9	1640495400.0	0.0	37.90719	47.5769	43.74477	54.92292	47.33712	65.08963	64.88473	50.60686	44.34204	57.85697	69.09616	60.1763	55.31529	57.27713	58.96868	48.89788	44.23305	43.6227	46.6265	51.39596	37.09194	45.03087	48.6799	45.77201	40.98947	51.60522	44.90008	33.19441	33.42983	0.0	0.0	6.8464	6.05818	6.77316	4.94908	6.99289	5.58036	22.23772	14.24386	0.04534	0.05232	12.08147	7.52999	0.0	0.0	0.0	19.44754	0.0	0.32436	0.0	0.0	0.0	10.49107	16.00516	16.51786	0.24414	20.77637	13.35449	12.48605	5.98493	4.59333	4.21317	5.12347	28.76325	4.3736	0.49874	8.9495	9.02972	12.54534	5.91169	20.04046	23.81069	33.11593	27.70647	24.66867	16.81431	13.18708	18.72907	0.0	0.0	0.0	27.98898	10.74568	14.67983	17.5014	36.38393	0.0	0.0	0.0	22.88993	11.63504	0.31738	5.41992	9.75167	6.36161	8.61119	7.23354	16.03655	1.01842	10.46317	0.34528
