REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1641877260.0	0.0	40.57966	49.92676	43.30444	54.99268	47.01015	56.09567	49.95292	49.95292	43.42651	58.34961	69.02204	59.13435	60.74306	63.17575	61.60191	59.4744	54.17742	49.00251	52.85645	50.07499	36.76496	41.46467	49.87444	52.23737	43.40036	53.90712	50.7115	35.52682	35.96715	0.0	0.0	2.70299	2.11705	6.80455	6.3058	7.54046	5.98842	25.78823	17.3305	0.10114	0.04534	11.99777	11.02818	0.0	0.0	0.0	18.33147	0.0	0.38714	0.0	0.0	0.0	9.66797	14.76353	9.87026	0.24414	16.97126	15.88658	7.45326	4.75377	3.74233	3.40402	2.77972	3.64816	4.32826	1.23465	10.36203	6.56738	11.92453	6.89523	18.73605	21.95173	35.50851	21.00307	22.97015	13.69629	14.23689	18.60352	0.0	0.0	0.0	15.07045	4.67355	12.79297	13.58817	21.9029	0.0	0.0	0.0	23.6084	19.15458	0.14648	4.50265	9.44475	25.79171	7.31027	6.34417	14.77748	1.16141	9.38895	0.37667
1	1641877320.0	0.0	40.37476	49.63902	43.33496	55.09731	46.70497	56.06079	50.43684	50.24937	43.1257	58.46732	68.85202	59.27822	60.71254	63.36321	61.7327	59.4526	53.69786	48.88044	52.62974	49.95728	36.56006	40.93279	49.81777	52.21994	43.5791	53.53219	50.46735	35.5617	36.54262	0.0	0.0	2.34026	1.98103	6.12444	5.61872	6.80804	5.50363	23.87347	16.02958	0.09766	0.04534	12.08147	10.95145	0.0	0.0	0.0	19.10575	0.0	0.39062	0.0	0.0	0.0	10.30273	16.0784	10.50502	0.24414	17.88853	15.83078	7.66602	4.97698	3.73186	3.125	2.7274	3.73884	4.31083	1.23117	11.03167	5.82799	10.36203	6.01981	16.28767	18.72559	30.56989	17.94085	19.90792	12.37095	13.16964	16.81083	0.0	0.0	0.0	16.94685	5.4269	14.49498	15.23089	24.55008	0.0	0.0	0.0	26.60784	21.27511	0.14997	4.52009	9.44475	25.76032	6.59528	5.82799	13.46261	1.16839	8.88672	0.35226
2	1641877380.0	0.0	40.50991	49.80033	42.96875	55.23682	47.03631	55.89076	50.53711	50.46735	43.38292	58.55451	69.00896	59.48748	60.59919	63.44604	61.7981	59.28693	53.16162	48.74965	52.41176	49.68698	36.88267	41.63906	49.73929	52.25481	43.60526	53.445	50.58943	35.48758	36.50774	0.0	0.0	3.03781	2.30887	7.41839	6.81152	8.10547	6.45229	26.7613	17.74205	0.09766	0.04534	13.25335	11.9036	0.0	0.0	0.0	20.34738	0.0	0.38714	0.0	0.0	0.0	10.63407	16.69224	10.91657	0.24414	18.5233	17.11775	8.14383	5.21415	3.96205	3.5784	2.83552	4.08412	4.4329	1.23465	9.36802	6.95103	12.23842	7.17076	19.98465	23.06083	37.73368	22.34933	23.85951	14.58566	15.24135	19.62542	0.0	0.0	0.0	17.94085	5.61872	15.0007	15.60756	25.80218	0.0	0.0	0.0	27.06822	21.76688	0.14648	4.62123	10.1144	27.96456	7.57882	6.5918	15.50293	1.16839	9.80399	0.40109
3	1641877440.0	0.0	40.35732	49.54747	43.0603	55.37197	46.79217	56.28749	50.24065	50.21014	43.0821	58.61555	68.79534	59.60955	60.38993	63.47656	61.84169	59.09511	52.57307	48.64066	52.18506	49.66518	36.68213	41.75677	49.78725	52.11966	43.31752	53.32729	50.31041	35.66633	36.17205	0.0	0.0	2.98898	2.29841	7.14286	6.48368	7.71833	6.20815	26.15095	17.4142	0.09766	0.0558	12.16169	11.40834	0.0	0.0	0.0	19.34989	0.0	0.39062	0.0	0.0	0.0	9.98535	15.23089	10.51897	0.24414	17.60603	15.76102	7.74623	4.69796	3.5784	3.13546	2.73438	3.67955	4.30385	1.22768	7.2998	6.45229	11.92104	6.60226	19.03599	22.04939	36.37347	21.35184	23.29799	14.13923	14.6031	19.05692	0.0	0.0	0.0	16.89802	5.17578	13.9195	15.12626	24.37221	0.0	0.0	0.0	23.48633	15.17508	0.14648	4.41197	8.67048	23.55957	6.63016	5.76869	13.15918	1.16839	8.59724	0.34877
4	1641877500.0	0.0	40.08702	49.49951	42.99927	55.06679	46.65702	56.63191	50.90768	50.26681	43.57038	58.79429	69.02204	59.69674	60.20246	63.46784	61.83733	58.93816	52.04991	48.50987	52.07607	49.41668	36.47723	41.29464	49.27281	52.61666	43.15622	53.09187	50.17962	35.40911	36.28976	0.0	0.0	2.32282	1.99149	5.81055	5.08859	6.01283	4.86886	20.6543	13.68234	0.09766	0.04534	9.05064	9.20061	0.0	0.0	0.0	16.32254	0.0	0.38016	0.0	0.0	0.0	9.05413	13.68583	9.19364	0.24414	15.37388	14.04506	6.8743	4.22712	3.0692	2.72042	2.64021	3.20173	3.59933	1.21373	6.00586	5.21415	9.34361	5.33273	15.25181	16.65039	27.37165	16.24233	17.34445	10.86775	11.62807	14.53334	0.0	0.0	0.0	14.47754	4.60031	12.84877	13.07896	20.34389	0.0	0.0	0.0	21.39369	13.39286	0.14648	4.35617	7.66602	20.35784	5.91518	5.256	12.46164	1.17188	8.04967	0.30692
5	1641877560.0	0.0	40.13933	49.5867	43.13442	55.27169	46.45211	56.75398	50.65918	50.13166	43.5573	58.90765	68.83458	59.7447	60.09347	63.53324	61.87657	58.81173	51.53111	48.42268	51.90168	49.42976	36.44235	42.0445	49.80905	52.41176	43.49191	53.34473	49.80033	35.36551	36.42491	0.0	0.0	3.37263	2.31585	6.84989	6.09305	7.49512	6.01981	23.99554	16.23884	0.09417	0.04185	9.71331	9.98884	0.0	0.0	0.0	17.51535	0.0	0.38365	0.0	0.0	0.0	9.57729	15.17508	9.87723	0.24414	18.44657	16.56669	8.15778	5.14788	3.92369	3.88532	2.80762	3.54701	4.44336	1.2207	7.79157	6.75921	11.94894	6.78362	19.06041	21.92383	36.22001	21.22628	22.70857	13.55329	13.99275	18.27567	0.0	0.0	0.0	15.07743	4.73284	13.62305	13.65792	21.99009	0.0	0.0	0.0	23.51772	15.29367	0.14648	4.63867	10.33761	28.0971	7.95898	6.82199	15.29367	1.16141	9.8877	0.38365
6	1641877620.0	0.0	39.91699	49.50387	43.02979	55.14526	46.72677	56.81937	51.20414	50.50223	43.74913	58.87713	69.10488	59.66622	60.14579	63.68583	61.94632	58.75942	51.13002	48.30933	51.82321	48.97199	36.329	41.92243	50.23193	52.45972	43.3742	53.44064	49.47771	35.72736	36.37259	0.0	0.0	3.09361	2.29492	7.2161	6.54297	7.74623	6.23605	25.12207	16.7341	0.09766	0.03836	9.88072	10.6829	0.0	0.0	0.0	18.89997	0.0	0.38714	0.0	0.0	0.0	9.9993	15.77846	10.19461	0.25112	17.08984	15.44713	7.99735	4.76074	3.70047	3.52609	2.73089	3.78069	4.19573	1.21024	7.46024	6.47321	11.9873	6.48717	19.11621	22.19936	36.66643	21.5332	23.4375	14.14272	14.86816	19.36733	0.0	0.0	0.0	17.00963	5.23158	14.83677	15.47503	24.84305	0.0	0.0	0.0	25.143	17.66532	0.14648	4.50614	9.79701	27.00893	7.38351	6.39648	13.95438	1.13351	9.33315	0.36621
7	1641877680.0	0.0	39.76004	49.44284	42.99491	55.2499	47.08426	57.32945	51.59215	50.16218	43.32624	58.87713	69.05256	59.61391	60.33325	63.97356	62.10763	58.75942	50.88152	48.23957	51.70114	48.73221	36.54698	42.04886	50.1273	52.58179	43.32188	53.1747	49.52567	35.71429	36.66033	0.0	0.0	3.02734	2.26353	7.14286	6.45229	7.67299	6.20815	25.33831	16.60854	0.09766	0.04534	9.7168	10.62709	0.0	0.0	0.0	19.16155	0.0	0.38365	0.0	0.0	0.0	10.51897	16.72363	11.05608	0.24414	18.84766	16.9887	8.27637	4.97349	3.8365	3.60282	2.7832	3.80859	4.34222	1.23117	7.28585	6.18373	11.91406	6.42439	18.607	21.36579	35.13532	20.47642	22.56557	13.62305	14.488	18.68722	0.0	0.0	0.0	16.42369	5.20717	14.8577	15.20299	24.2606	0.0	0.0	0.0	24.98256	16.14816	0.14648	4.49219	9.73424	26.51716	7.244	6.28836	13.56376	1.137	9.25991	0.35226
8	1641877740.0	0.0	39.96495	49.41232	43.00799	55.433	46.70933	57.41228	51.70986	50.12294	43.38728	58.87713	69.78934	59.45696	60.62099	64.37901	62.30382	58.89021	50.70714	48.16546	51.6401	48.87172	36.2854	42.19709	50.06191	52.64718	43.47011	53.07007	49.857	35.19985	36.20257	0.0	0.0	2.8111	2.15193	6.34766	5.66057	7.0731	5.54897	22.3284	14.94489	0.09766	0.03488	8.61119	9.17969	0.0	0.0	0.0	17.50488	0.0	0.38016	0.0	0.0	0.0	9.38198	15.04953	10.72824	0.24414	17.57464	15.40527	7.56487	4.58636	3.52609	3.22266	2.63323	3.36217	4.10156	1.22419	6.49065	5.91867	11.15025	5.96052	17.57464	19.83468	32.37305	19.01507	20.66127	12.48954	13.40332	17.40723	0.0	0.0	0.0	14.34849	4.46777	13.98577	13.21847	21.06236	0.0	0.0	0.0	22.47489	15.54129	0.14997	4.35617	8.89369	24.10366	6.7034	5.77567	12.60463	1.11956	8.57631	0.32785
9	1641877800.0	0.0	39.72953	49.31205	42.82924	55.14962	46.77473	57.32945	52.44228	49.97907	43.5573	59.12563	70.16427	59.40465	60.85205	64.69291	62.50872	58.99484	50.65482	48.08698	51.78397	49.00251	36.31156	41.8396	50.02703	52.66462	43.26957	53.36217	49.78289	35.17805	36.28104	0.0	0.0	3.06571	2.32631	7.3591	6.6197	7.8125	6.33022	26.03585	16.9608	0.09766	0.03836	9.92955	10.89565	0.0	0.0	0.0	19.72307	0.0	0.38714	0.0	0.0	0.0	10.25391	16.17955	11.14676	0.24414	18.48493	16.45857	8.39495	4.7433	3.55748	3.29241	2.69252	3.79813	4.28292	1.20675	6.86733	6.11747	12.03613	5.6536	19.13365	21.96219	36.31069	21.41462	23.05734	14.25432	14.85073	19.35686	0.0	0.0	0.0	16.33998	5.15485	15.46456	15.86565	26.36719	0.0	0.0	0.0	24.18736	15.51339	0.13951	4.38407	9.01576	24.44894	6.8743	5.92215	13.16616	1.14746	8.71233	0.33133
